task,level,cluster_id,universal_task_id
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,U01.19,U01
Perform in vivo procedures on laboratory animals to establish defined experimental states or disease models,domain,U01.11,U01
Perform laboratory assays on biospecimens to quantify biomarker and analyte levels for research measures,domain,U01.19,U01
"Prepare solid samples by crushing, sectioning, or mounting to produce standardized material for laboratory analysis or experiments",domain,U04.12,U04
Process and align sequencing reads for downstream analysis.,domain,U04.09,U04
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,U01.17,U01
Quantify measurement uncertainty and propagate errors through calculations.,domain,U02.09,U02
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,U04.10,U04
Quantify target nucleic acid levels with targeted PCR assays to compare or verify expression results,domain,U01.19,U01
"Read texts or examine works closely, attending to language, form, structure, and style.",domain,U18.01,U18
"Reconstruct sites, objects, or events from documentary and material evidence to produce a representation of them",domain,U28.04,U28
"Reconstruct the historical development and circumstances of a figure, community, or movement from documentary sources to explain its later character",domain,U28.04,U28
"Reconstruct the historical development of institutions, practices, or ideas from documentary and archival sources to explain their present form",domain,U28.04,U28
Recruit study participants and collect clinical samples or measurements.,domain,U01.10,U01
"Release code, data, and computational environments so that results can be reproduced.",domain,U06.03,U06
Retrieve and count occurrences of targeted features across a textual corpus to identify distributional patterns,domain,U02.11,U02
Run numerical experiments or simulations to characterize behavior where theory is silent.,domain,U09.03,U09
Run numerical simulations of physical systems.,domain,U09.03,U09
Search for counterexamples and boundary cases that would falsify a claim.,domain,U29.02,U29
"Select and justify cases, sites, or jurisdictions on explicit criteria to structure comparison",domain,U07.06,U07
"Situate a source within its historical, cultural, and intellectual context to reconstruct its meaning.",domain,U28.04,U28
"Specify a formal model, stating its objects, assumptions, and notation precisely.",domain,U29.03,U29
Survey a specialized body of documentary material to describe its contents and trace how it changed over time,domain,U28.04,U28
Synthesize materials or compounds for experimental study.,domain,U01.15,U01
"Test materials and devices under prolonged, repeated, or stressed operating and exposure conditions to quantify performance degradation and durability",domain,U01.18,U01
"Trace key terms and names across sources, languages, and periods to establish their meanings and development",domain,U28.05,U28
"Trace the circulation, reception, and transformation of works or forms across later periods and contexts",domain,U28.04,U28
Train and supervise study personnel to ensure consistent application of study data collection procedures,domain,U17.01,U17
"Transcribe, translate, or edit source materials, documenting every editorial choice.",domain,U04.07,U04
Translate research findings into actionable recommendations or guidelines for practitioners and policymakers,domain,U10.01,U10
Use the researcher's own lived and embodied experience as primary data for analysis,domain,U28.06,U28
Validate constructed measures by comparing them against independent data sources or reference values to establish their reliability,domain,U02.07,U02
"Vary model inputs, parameters, or forcings systematically to quantify their influence on predicted outcomes",domain,U09.09,U09
"Acquire imaging or instrument-based measurements of animals, patients, or specimens to characterize structure and function",field,U01.99,U01
Adapt and tune implementations to a target hardware platform to meet runtime and resource constraints.,field,U16.05,U16
Adapt existing research instruments to the language and cultural context of a new participant population,field,U07.03,U07
"Administer acute interventions, such as brain stimulation or pharmacological challenge, to human participants during experimental sessions",field,U01.21,U01
Administer cell-birth-dating labels to animals in vivo to track the generation and fate of newly formed cells,field,U01.11,U01
Administer selective inhibitors or blocking antibodies to test whether a specific pathway mediates an observed phenotype,field,U01.21,U01
Administer standardized clinical and neuropsychological assessments to participants to characterize their phenotypes,field,U01.09,U01
"Administer surveys, interviews, or participatory workshops with communities and stakeholders to collect socioeconomic, behavioral, and perception data",field,U01.06,U01
Adopt established theoretical or conceptual frameworks from the literature to frame research questions and interpret the phenomenon under study.,field,U24.04,U24
Aggregate normalized indicators into composite indices to rank or classify units,field,U02.11,U02
Analyze area-level aggregate data to characterize geographic and temporal variation in disease risk,field,U02.14,U02
"Analyze elevation, bathymetry, and imagery data to map landform morphology and infer landscape evolution",field,U02.14,U02
Analyze enacted or proposed legal changes to assess their scope and prospective effects,field,U28.02,U28
Analyze fecal or other biospecimens to characterize gut microbial composition in relation to diet.,field,U02.12,U02
Analyze gut or stomach contents of animals to characterize diet composition.,field,U01.17,U01
"Analyze linguistic forms in data to make explicit their sources, meanings, or relations to other forms",field,U28.05,U28
"Analyze policy, legal, and institutional arrangements to assess governance capacity and actor responsibilities",field,U28.02,U28
Analyze refined crystal structures to derive higher-level structural features such as packing motifs or network topology,field,U02.10,U02
Analyze sediments and geological context of fossil or archaeological localities to reconstruct depositional and site-formation processes,field,U02.99,U02
Analyze sequence and sample data from organisms to identify genes or products and infer their biological function.,field,U02.12,U02
Analyze trial-level behavioral responses to derive indices of perceptual sensitivity and decision performance,field,U02.07,U02
Apply cross-validated predictive models to neural or biomarker features to quantify classification and decoding accuracy,field,U09.06,U09
Apply design-based stereological sampling to tissue sections to estimate cell numbers in defined brain regions,field,U02.11,U02
"Apply diagnostic criteria to observations to define units or quantify ages, rates, and change",field,U04.08,U04
Apply established analytical procedures to existing records or samples to characterize system properties,field,U02.11,U02
Apply established doctrinal and interpretive methods to scriptural texts or cases to reach normative conclusions,field,U28.02,U28
Apply established models to frame or estimate relationships between places and people,field,U02.14,U02
Apply established theories to frame research questions and interpret evidence about observed patterns,field,U12.01,U12
Apply external fields during processing to align anisotropic constituents and produce directional structure,field,U01.15,U01
Apply legal rules to actual or hypothetical fact patterns to determine their legal characterization and consequences,field,U28.02,U28
"Apply normative, ethical, or philosophical theory to evaluate media institutions, platforms, or public discourse.",field,U28.03,U28
"Apply standardized diagnostic and severity criteria to classify study patients into disease categories, subtypes, or response states",field,U04.08,U04
"Apply supporting statistical procedures, such as regression diagnostics or clustering, to prepare and refine the main analysis",field,U02.02,U02
Apply systematic procedures to derive design requirements and generate design alternatives,field,U30.07,U30
Appraise and articulate criteria for judging the quality of research methods and creative work in the field,field,U11.01,U11
"Appraise online health information against standardized quality, credibility, or accuracy criteria.",field,U28.02,U28
"Appraise the methodological quality of prior studies' designs, measures, and reporting across a research literature",field,U24.02,U24
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,U01.21,U01
Assess a language variety's vitality or degree of endangerment using established indicators,field,U02.11,U02
Assess coding reliability by having independent raters code the same data and computing their agreement,field,U02.07,U02
"Assess heterogeneity in estimated associations across subgroups or contexts using interaction terms, stratified models, or other tests of effect modification.",field,U02.02,U02
Assess intercoder reliability across independently coded material to validate the coding scheme.,field,U02.07,U02
Assess measured or compiled data against reference values or decision models to judge adequacy and performance,field,U02.08,U02
Assess morphological and sequence characters for what they reveal about evolutionary relationships and population history,field,U02.13,U02
Assess selection and non-response bias by comparing enrolled participants with non-participants or the source population,field,U02.08,U02
"Assess the completeness and validity of routine, administrative, and notification data sources before their use",field,U04.14,U04
"Assess the reliability, conceptual validity, and cross-source or cross-context comparability of existing data sources, indicators, and measures.",field,U04.14,U04
Assess workplace and jurisdictional health and safety regulations and compliance with their required standards and limits,field,U28.02,U28
Assign individual animals to age or reproductive stage categories using standardized morphological criteria.,field,U04.08,U04
Assign participants to comparison subgroups by applying score cutoffs or normative benchmarks to assessment data.,field,U04.08,U04
"Assign species to standardized categories, such as life-form or trophic role, using published classification schemes and records.",field,U04.08,U04
Benchmark analytical methods against reference standards or competing approaches using quantitative performance metrics,field,U02.08,U02
Build and solve formal models of strategic interaction to derive testable propositions about political behavior,field,U29.03,U29
"Build or adapt a formal apparatus, such as logical languages or decision-theoretic models, to represent philosophical phenomena for analysis",field,U29.03,U29
"Build software prototypes, tools, or dashboards as research artifacts usable by researchers and external stakeholders.",field,U16.06,U16
Calculate taxonomic and functional diversity metrics from community abundance data,field,U02.11,U02
Calibrate structural or simulation models to observed data and simulate counterfactual scenarios.,field,U09.05,U09
"Characterize and standardize the measures, stimuli, and classification procedures used in a study or research area before drawing substantive inferences.",field,U07.14,U07
Characterize individual organisms by measuring or scoring standardized morphological traits.,field,U01.12,U01
Characterize microbial isolates with laboratory assays to determine their functional traits,field,U01.19,U01
Characterize mineral assemblages and textures in thin sections using optical microscopy,field,U01.17,U01
"Characterize or specify the geometry and motion of objects, beams, or boundaries to relate spatial configuration to system behavior",field,U09.02,U09
Characterize physicochemical properties of precursor formulations and feedstocks to assess processability prior to fabrication,field,U01.17,U01
Check newly derived results against known special cases and previously established results to confirm their correctness.,field,U29.04,U29
Check that theoretical models and protocols satisfy required consistency and performance conditions,field,U29.04,U29
Chemically profile metabolites/secondary compounds from samples using analytical separation and detection techniques to generate characterization data.,field,U01.17,U01
"Classify economic units, periods, or institutions into categories or typologies based on measured characteristics.",field,U04.08,U04
Classify languages or varieties by explicit structural criteria to account for cross-linguistic variation,field,U04.08,U04
Code and synthesize characteristics and findings across a corpus of published work to map a body of literature,field,U24.03,U24
Code attributes and events from documentary and public records to build original political datasets,field,U04.06,U04
Code documents into predefined categories to characterize the composition and trends of a corpus.,field,U04.06,U04
Code information from documents or open-ended responses into structured variables using standardized coding instruments to create analyzable data.,field,U04.06,U04
Code qualitative interview and document text into thematic categories to identify patterns across accounts,field,U04.06,U04
Collect and assay biological or physiological measures to index physiological variables such as hormone levels or genotype.,field,U01.19,U01
Combine observations with model or meteorological fields to isolate the signal of specific events or processes,field,U02.06,U02
"Commission or task participants with producing original creative or design artifacts under specified conditions, treating the resulting works as primary research data.",field,U07.04,U07
"Compare candidate systems, technologies, or configurations against their trade-offs to guide design and selection decisions.",field,U30.07,U30
Compare dated proxy records with independent records to assess synchrony and drivers of environmental change,field,U02.06,U02
Compare genome organization and gene arrangement across related taxa to characterize structural differences.,field,U02.12,U02
"Compare how the same theme, content, or interpretive claim is realized across different artistic media or formats in order to assess what the medium contributes to meaning and whether claims hold across media.",field,U28.07,U28
Compare lexical or citation patterns across large bodies of text to map meanings or the structure of a field.,field,U02.11,U02
Compare measured values against regulatory or reference thresholds to judge quality and suitability,field,U02.08,U02
Compare model predictions with observed data or documented stylized facts to assess the model's validity.,field,U09.09,U09
Compare observed practice or work against official standards and guidelines to assess compliance,field,U28.02,U28
"Compare related texts or successive versions of a text to establish their dependencies, borrowings, and alterations.",field,U28.05,U28
Compare source- and target-language expressions to assess the correspondence between them,field,U28.05,U28
Compare study scores or effects against external normative or reference data to interpret their practical magnitude.,field,U02.08,U02
Compare study-derived estimates with independently published external statistics to assess their completeness and validity,field,U02.08,U02
Compare the legal treatment of an issue across jurisdictions or coexisting legal regimes to map variation,field,U28.02,U28
"Compile and verify occurrence records from collections, literature, and field surveys to document species distributions.",field,U06.01,U06
Compile documentary reference accounts of a language variety and its speech community,field,U06.01,U06
Compile documented or hypothetical illustrative cases as evidence supporting a conceptual argument.,field,U28.03,U28
Compile inventories of heritage or tourism resources from field and documentary sources to record their attributes and distribution,field,U06.01,U06
"Compile journalistic, documentary, and secondary sources into case evidence supporting a theoretical argument",field,U28.04,U28
Compile quantitative and descriptive data from published studies and reference databases into standardized datasets for cross-source synthesis,field,U06.01,U06
"Compile quantitative data from administrative, institutional, or published records into datasets to characterize patterns and change over time.",field,U06.01,U06
Compile secondary records and statistics from administrative and archival sources into standardized datasets for analysis,field,U06.01,U06
Compute derived indices from primary measurements using established formulas to characterize system performance,field,U04.05,U04
"Compute descriptive statistics from aggregate or secondary data to document patterns and trends across groups, sectors, or periods.",field,U02.11,U02
"Compute distance, travel-time, and network accessibility measures between locations",field,U04.05,U04
"Compute distributional indices, such as inequality or concentration measures, to characterize distributions of economic outcomes.",field,U02.11,U02
Compute frequency-domain measures from continuous physiological recordings to quantify oscillatory activity,field,U04.11,U04
Compute graph-theoretic metrics from brain connectivity networks to characterize their topological organization,field,U04.11,U04
"Compute indices from hydro-meteorological time series to characterize regimes, extremes, and hazard conditions",field,U04.05,U04
Compute particle trajectories through modeled or observed velocity fields to trace transport pathways,field,U09.03,U09
Conduct a priori power calculations to determine the sample size required for planned analyses.,field,U07.01,U07
"Conduct direct field observation of settings, providers, and practices to document conditions and behavior in situ",field,U18.01,U18
Conduct in-depth interviews or focus groups to elicit participants' accounts of food and feeding beliefs and practices.,field,U01.07,U01
"Conduct iterative action research cycles of implementing, observing, and refining classroom instruction.",field,U28.99,U28
Conduct multi-round expert rating processes with structured feedback and agreement criteria to reach consensus judgments.,field,U01.22,U01
Conduct sensitivity analyses using alternative assumptions and definitions to test the robustness of findings,field,U02.08,U02
"Conjugate fluorescent, radioactive, or affinity labels to biomolecules to generate detection reagents and tracers",field,U07.13,U07
"Construct and calibrate sequential monitoring procedures, such as control charts, to detect shifts in a process across successive samples.",field,U07.08,U07
"Construct cell lines or strains carrying targeted gene deletions, insertions, or tagged alleles to test gene function",field,U07.13,U07
Construct chronologies for sediment records from dated control points to place proxy data on a common timescale,field,U04.05,U04
Construct decision rules or bounds from sample data together with quantitative assessments of their error.,field,U02.16,U02
Construct example sentences and apply the analyst's own introspective judgments as evidence for an analysis,field,U28.06,U28
Construct explicit examples or exact values realizing prescribed properties within a given class of structures.,field,U29.02,U29
Construct formal theoretical models and derive their equilibrium implications as testable predictions.,field,U12.04,U12
Construct generalized model formulations or decompose fields into constituent modes to expose the structure of a physical system,field,U09.02,U09
Construct network measures from relational data to characterize actors' positions and connections,field,U04.05,U04
Construct normative and doctrinal arguments to resolve an unsettled or contested legal question,field,U28.02,U28
Construct relational networks from media or platform data and compute structural metrics to map associations among actors and content.,field,U04.05,U04
Construct study-specific materials and procedures to capture the target phenomenon in its interactional or real-world context.,field,U07.04,U07
Construct taxonomies or design spaces that classify existing systems and techniques along multiple dimensions to structure a research area.,field,U24.03,U24
"Convert effect or cost-effectiveness estimates into alternative, more interpretable metrics to support end-user decision-making.",field,U02.11,U02
Corroborate findings by triangulating independent analysts or complementary data sources,field,U02.08,U02
Critically appraise the measures and methods used in a body of research to assess their validity,field,U24.02,U24
Critically evaluate competing theoretical accounts or concepts to assess their explanatory adequacy,field,U28.03,U28
Date site materials with chronometric methods to establish absolute ages for the deposits and their sequence,field,U01.17,U01
Decompose aggregate outcomes or their changes into contributions from underlying components.,field,U02.11,U02
Decompose budget terms in model or reanalysis fields to attribute variability to specific physical processes,field,U02.06,U02
Delineate spatial units of analysis by aggregating or clustering geographic data to fit the research design,field,U04.10,U04
"Deliver targeted manipulations, such as optogenetic or pharmacological intervention, to defined neural populations to test their causal role",field,U01.21,U01
Derive ages and histories by reducing and integrating measurement data with established methods,field,U04.05,U04
Derive and prove theorems within a formal framework to establish its properties and philosophical consequences,field,U29.01,U29
Derive exact solutions and spectra of solvable models using analytic mappings and integrability techniques,field,U29.01,U29
Derive quantitative anatomical measurements from medical images using manual or automated segmentation methods,field,U04.10,U04
Derive reduced effective equations or Hamiltonians by eliminating fast or high-energy degrees of freedom from a microscopic description,field,U29.03,U29
Derive standardized classifications or parameter estimates from measured data to characterize samples and populations,field,U02.11,U02
Derive systematic descriptions or empirical relationships from measured specimens for reference use,field,U02.11,U02
Derive theoretical descriptions of underlying mechanisms or structure and test them against observational or rigorous mathematical constraints,field,U12.04,U12
Design and configure experimental apparatus and control settings to achieve targeted measurement or manipulation capabilities,field,U07.10,U07
"Design and deliver professional training for teachers, coaches, or staff who implement targeted practices.",field,U08.01,U08
"Design and implement interventions, such as workshops or courses, to generate the study's primary data",field,U07.01,U07
"Design and run controlled experiments on replicas, specimens, or living subjects to generate comparative reference data for interpreting past material",field,U07.11,U07
Design and validate oligonucleotide sets (primers or probes) from reference sequences to target specific genomic regions.,field,U07.13,U07
"Design case studies of selected sites, programs, or individuals to examine processes in context.",field,U07.06,U07
Design controlled materials or data-collection protocols that systematically vary targeted properties to obtain evidence about them,field,U07.04,U07
"Design experimental tasks, stimuli, and manipulations to elicit and measure targeted psychological processes.",field,U07.04,U07
Design longitudinal or repeated-measures data collection to capture change in participants over time.,field,U07.01,U07
Design neural network architectures and their internal modules to address a target task.,field,U09.06,U09
Design observational studies of animal patients to quantify disease occurrence and risk factors,field,U07.02,U07
Design randomized experiments embedded within ongoing studies to test the effects of procedural or design features on study outcomes.,field,U07.01,U07
Design system architectures that define functional components and their interfaces to satisfy specified requirements,field,U30.01,U30
"Design system architectures, specifying their components, interfaces, and data flows, to realize a working system.",field,U30.01,U30
Design systematic search and eligibility screening protocols to identify and select sources for a study corpus.,field,U24.01,U24
Determine sample properties such as age or provenance from measured physical and compositional signatures,field,U04.05,U04
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,U07.08,U07
Develop and benchmark quantitative analysis methods for extracting measures from neural data,field,U09.08,U09
Develop and calibrate analysis methods for extracting quantitative measurements from optical imaging data,field,U09.08,U09
"Develop and evaluate sequence-derived molecular markers for genotyping individuals, cultivars, or strains.",field,U07.13,U07
Develop and justify an interpretive method by comparing alternative approaches and their theoretical assumptions,field,U28.07,U28
Develop conceptual frameworks and typologies that sort system elements into standardized categories,field,U12.03,U12
"Develop digital tools, applications, or simulations to serve as the technology intervention under study.",field,U30.02,U30
"Develop numerical and heuristic optimization algorithms to solve engineering design, planning, and scheduling problems",field,U09.11,U09
"Develop programs, curricula, or interventions jointly with community and organizational partners",field,U30.05,U30
"Develop rating scales for judges to score properties of language, performance, or context",field,U07.07,U07
Develop reporting guidelines or frameworks that specify standards for communicating and appraising studies in a research field.,field,U30.05,U30
"Develop the components, materials, and tools of health interventions and support programs to enable implementation",field,U30.05,U30
Develop typologies that sort observed units into defined categories for analysis,field,U12.03,U12
Devise or scrutinize measures targeting specific linguistic categories to ensure they capture the intended construct,field,U07.14,U07
Document researcher positionality and reflexivity to account for their influence on data collection and interpretation.,field,U28.06,U28
"Document the clinical course, management, and outcomes of individual patients or case series to characterize rare presentations",field,U01.10,U01
"Draw on and reflexively manage the researcher's own insider relationships with the studied community, profession, or organization when negotiating access and interpreting data.",field,U28.06,U28
"Elicit needs, practices, and requirements from users, domain experts, and stakeholders to inform system design.",field,U30.07,U30
"Elicit structured expert judgment to define assessment inputs, weights, and priorities where empirical data are sparse",field,U01.22,U01
Engage practitioners or community participants in interpreting and verifying the study's findings,field,U28.06,U28
Establish and revise formal classifications by assigning taxa to ranks and names consistent with systematic evidence.,field,U04.08,U04
"Establish animal models of disease or injury via surgical, pharmacological, chemical, or genetic manipulation for mechanistic and therapeutic experiments.",field,U01.11,U01
Establish the basic properties of newly introduced invariants or structures for a class of objects.,field,U29.01,U29
Establish the chronology of events and sources by collating and converting dating evidence from documents.,field,U04.05,U04
Establish the credibility of qualitative findings by returning materials to participants or obtaining external review.,field,U28.06,U28
"Establish the underlying system of units, categories, and boundaries in a domain through systematic analysis of its patterns",field,U12.03,U12
"Estimate discrete-choice or limited-dependent-variable models for categorical, ordinal, or censored outcomes.",field,U02.02,U02
"Estimate emissions or material flows by applying conversion factors to activity, population, and statistical data",field,U02.11,U02
Estimate historical quantities from incomplete or conflicting figures to establish comparable baselines.,field,U02.11,U02
"Estimate how effects vary across subgroups, conditions, or points of the outcome distribution.",field,U02.02,U02
Estimate source-level neural activity from sensor-level EEG or MEG recordings to localize neural generators,field,U09.05,U09
Estimate system-level values or parameters from available data using established estimation methods,field,U02.11,U02
Estimate temporal trends in population health indicators over calendar time,field,U02.06,U02
Estimate the classification accuracy of assessment measures against criterion outcomes to identify optimal cut-scores.,field,U02.07,U02
"Estimate volumes and abundances of deposits or phases from measurements of thickness, extent, and distribution",field,U02.11,U02
Evaluate corrosion and interfacial behavior of materials in electrolytes using electrochemical polarization and impedance measurements,field,U01.17,U01
"Evaluate occurrence, habitat, and range data against red-list criteria to assess the conservation status of taxa.",field,U02.08,U02
Evaluate the out-of-sample predictive accuracy of competing models against benchmarks using held-out data.,field,U09.06,U09
Evaluate whether available corpora or documentation adequately represent the language use they are meant to reflect,field,U04.14,U04
Examine and disclose the researcher's own positionality to account for its influence on interpretation,field,U28.06,U28
Examine imperfections in measurement or data collection procedures to inform instrument choice and improve the validity of resulting estimates.,field,U07.09,U07
Examine judicial decisions and institutional practices against governing legal principles to assess their coherence,field,U28.02,U28
