cluster_id,universal_task_id,universal_task,category,cluster_name,cluster_description,n_tasks
U02.11,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,"Compute descriptive statistics, rates, and composite indicators","Standardized quantitative measures: descriptive statistics and trends, demographic rates and life tables, diversity and inequality indices, bibliometric and network metrics, benchmarking indicators. Examples: T0260, T2388, T2419, T2421, T1665, T6281.",93
U02.12,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Analyze omics and sequence data statistically,"Differential expression, GWAS and linkage, enrichment and pathway analysis, population genetics, microbial community statistics. Examples: T0954, T1005, T2555, T5854, T5872, T5890.",30
U02.13,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Infer phylogenies and evolutionary histories,"Tree inference, divergence dating, ancestral-state reconstruction, phylogenetic comparative methods, species delimitation. Examples: T1294, T2560, T4303, T4724, T5808, T6407.",17
U02.14,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Analyze spatial and geostatistical patterns,"Spatial autocorrelation and point patterns, kriging and interpolation, spatial econometrics, GIS-based pattern analysis, hotspot detection.",32
U02.15,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Conduct Bayesian inference and computation,"Prior specification, MCMC and samplers, convergence diagnostics, posterior predictive checks, prior sensitivity. Examples: T2325, T2565, T2626, T5122, T6752, T5902.",10
U02.16,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Develop and evaluate statistical methodology,"Methods research: deriving estimator properties and bounds, constructing new tests and procedures, Monte Carlo evaluation, bias corrections, multiplicity control theory. Examples: T2426, T2691, T3085, T3088, T3729, T6963.",28
U02.17,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Discover patterns with unsupervised learning,"Unsupervised structure discovery in data: clustering and segmentation into empirical types, dimensionality reduction for exploration, association-rule and frequent-pattern mining, exploratory analysis of distributions and latent structure.",6
U02.99,U02,Apply statistical methods to test hypotheses and estimate effect sizes.,Data Analysis,Other,Tasks under this universal task that did not fit any of its clusters.,9
U04.01,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Correct and filter instrument signals,"Calibration corrections, background subtraction, noise filtering, drift and artifact removal across physical instruments and sensors.",66
U04.02,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Clean and standardize records across sources,"The ""clean and standardize/harmonize X"" family: inconsistent coding schemes, terminologies, classifications, identifiers; entity resolution and deduplication. Examples: T1930, T1934, T5062, T5079, T6376, T6773.",118
U04.03,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Handle missing data and adjust weights,"Imputation, nonresponse and attrition handling, sampling and post- stratification weights, top-coding corrections.",16
U04.04,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Link records and assemble analysis datasets,"Merging and linkage across sources, panel construction, geocoding, multi-platform integration, gridding and interpolation of merged products.",28
U04.05,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,"Construct derived variables, indices, and network measures","Operationalizing constructs from raw fields: composite indices, exposure and accessibility measures, network construction, standardized formula-based quantities. Examples: T0057, T2641, T2643, T2657, T2637, T3127.",69
U04.06,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Annotate and code material with coding schemes,"Systematic annotation of texts, transcripts, media, and records into categories: thematic and content coding, linguistic annotation, frame coding, recoding open-ended responses, inter-coder reliability procedures.",189
U04.07,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,"Transcribe, translate, and edit source materials","Transcription of recordings and manuscripts, normalization of historical orthography, scholarly translation, collation of variant editions, glossing.",31
U04.08,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Classify cases and specimens against established schemes,"Applying diagnostic criteria, taxonomic keys, grading systems, and typologies to assign units to categories. Examples: T0193, T0377, T1655, T1907, T6581, T6742.",31
U04.09,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Process sequence and omics data,"Read alignment and assembly, genome annotation, variant calling, OTU/ASV pipelines, repertoire processing, quality filtering of sequence data.",36
U04.10,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Process image and geospatial data,"Image preprocessing, segmentation and feature quantification, 3D reconstruction, remote-sensing corrections and derived products, GIS processing and digitization. Examples: T1301, T3656, T4962, T6091, T6406, T6602.",53
U04.11,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Extract features from physiological and behavioral recordings,"Spike sorting, evoked-potential and spectral features, kinematics, gaze and motion processing, stream synchronization.",20
U04.12,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Prepare and purify physical samples,"Bench preparation of material for measurement: purification, digestion, extraction, sectioning and staining, standardized specimen conditioning.",17
U04.13,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Quantify constituents of samples with laboratory assays,"Assay-based quantification of collected samples: biomarkers, metabolites, pollutant concentrations, expression quantification, densitometry.",33
U04.14,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,"Appraise data quality, coverage, and source reliability","Completeness and representativeness assessment, measurement-error diagnosis, provenance and authenticity evaluation of sources (source criticism).",23
U04.15,U04,Clean and preprocess raw data to prepare for statistical or computational analysis.,Data Analysis,Extract structured data from records and publications,"Structured abstraction from case files, EHR, judicial opinions, and published studies into analyzable variables; systematic-review data extraction.",12
U05.01,U05,Coordinate with collaborators across institutions and disciplines.,Administration,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",15
U06.01,U06,"Curate and manage datasets, ensuring proper documentation and version control.",Data Gathering,Compile datasets from records and published sources,"Building datasets from administrative, documentary, bibliographic, and published material; corpus compilation. Examples: T0231, T0257, T2352, T2366, T2374, T2386.",21
U06.02,U06,"Curate and manage datasets, ensuring proper documentation and version control.",Data Gathering,Link records and assemble cohorts,"Record linkage across registries, surveys, and administrative data; cohort and panel assembly. Examples: T0389, T1423, T1438, T5281, T5284, T5286.",15
U06.03,U06,"Curate and manage datasets, ensuring proper documentation and version control.",Data Gathering,"Document, version, and release research artifacts","Lab notebooks, replication packages, code/data release, dataset versioning, benchmark assembly. Examples: T0120, T0143, T2969, T4084, T0041, T2112.",7
U06.04,U06,"Curate and manage datasets, ensuring proper documentation and version control.",Data Gathering,"Build databases, repositories, and metadata standards","Database schemas, web-accessible resources, metadata schemas and controlled vocabularies, data-security safeguards for repositories.",14
U06.05,U06,"Curate and manage datasets, ensuring proper documentation and version control.",Data Gathering,Curate physical specimens and collections,"Type and voucher deposition, provenance and type-status cataloguing.",3
U07.01,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Architect studies and allocation designs,"Overall design choice and its causal architecture: choosing/justifying the design, control conditions, randomization and counterbalancing, procedural confound controls, a priori power and sample-size calculation, analysis plans.",65
U07.02,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Design clinical trials and epidemiological studies,"Trials with specialty endpoints, cohort/case-control/surveillance/diagnostic- accuracy designs, eligibility criteria, follow-up schedules, blinded adjudication, pragmatic and stepped-wedge designs.",116
U07.03,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Construct surveys and questionnaires,"Item and instrument writing, response scales and skip logic, mode design, translation and cultural adaptation, cognitive pretesting, multilingual equivalence. Examples: T0086, T2713, T3585, T3949, T4033, T6095.",172
U07.04,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,"Design behavioral tasks, stimuli, and elicitation instruments","Experimental tasks and stimuli, acceptability-judgment and production tasks, economic games and incentive-compatible mechanisms, vignettes, survey experiments, stimulus calibration and pilot validation.",65
U07.05,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,"Design interview, focus-group, and oral-history guides","Protocol and guide development for qualitative encounters, including culturally adapted and sensitive-topic protocols.",194
U07.06,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Design sampling and recruitment strategies,"Probability and purposive sampling, stratification, respondent-driven and chain-referral designs, sampling frames for hidden populations, eligibility screening flow. Examples: T0084, T0085, T3484, T3509, T5154, T5326.",19
U07.07,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,"Develop scales, coding schemes, and rater procedures","Psychometric scale development and validation, rubrics and scoring guides, annotation and coding schemes, rater training and standardization, inter-coder calibration. Examples: T0329, T1764, T3168, T3507, T6590, T6877.",51
U07.08,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Develop and validate analytical methods and assays,"Wet-lab and analytical method development: assay design and validation, selectivity/linearity/precision establishment, detection methods for target analytes, reference-standard verification.",36
U07.09,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Calibrate and characterize instrument performance,"Metrology of the measurement chain: detector/sensor error characterization, drift and noise budgets, resolution and detection limits, calibration against reference instruments. Examples: T1830, T1841, T1877, T1880, T1899, T6958.",45
U07.10,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Build and configure experimental apparatus,"Constructing and configuring setups: optical benches, vacuum and cryogenic systems, reactors and testbeds, custom hardware and DAQ, exposure-delivery rigs, real-time control loops. Examples: T0304, T2610, T3158, T3648, T4663, T5159.",45
U07.11,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Design bench experimental conditions and protocols,"Controlled-condition protocol design in the lab: synthesis/deposition/kinetics condition matrices, factorial and response-surface designs, reaction-condition optimization, mechanical/electrochemical testing protocols.",106
U07.12,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Design field trials and environmental sampling schemes,"Replicated plots and blocks, transects and monitoring networks, BACI designs, stratified field campaigns, herd/pen-level designs.",49
U07.13,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Develop biological models and reagents for planned studies,"Strain/cell-line construction, primers and probes, labeled reagents, animal and culture model establishment for a study's purposes.",24
U07.14,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,"Operationalize constructs, outcomes, and classification criteria","Defining what counts: endpoint and indicator definitions, case definitions and severity gradings, construct operationalization, benchmark and metric definitions. Examples: T0070, T2985, T3089, T3732, T5741, T6744.",33
U07.15,U07,Design data collection protocols and instruments to ensure validity and reproducibility.,Data Gathering,Co-design instruments and studies with experts and stakeholders,"Structured expert consensus, stakeholder co-design, expert review of draft instruments, participatory design of studies.",8
U08.01,U08,Develop and deliver course curricula in specialized research areas.,Mentorship & Teaching,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",8
U09.01,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Derive quantitative predictions from established theory,"Applying governing equations and theory to predict system behavior: analytic derivations of rates, spectra, stresses, capacities, stability conditions.",140
U09.02,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Formulate mathematical and computational models,"Writing the model itself: governing-equation formulations, optimization and game-theoretic model statements, stochastic processes, loss functions, threat models, system specifications. Examples: T4885, T4901, T4909, T4908, T6748, T6757.",42
U09.03,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Run continuum and system-level simulations,"FEA, CFD, climate/hydrology/geophysics models, plasma and power-system codes, traffic and network simulators, discrete-event and agent-based simulation.",147
U09.04,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Run molecular and electronic-structure simulations,"DFT and quantum chemistry, molecular dynamics and Monte Carlo, docking, coarse-grained and multiscale molecular methods.",61
U09.05,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Calibrate models and solve inverse problems,"Fitting models to observations: calibration, data assimilation, system identification, tomographic and structure inversion/refinement.",83
U09.06,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Build and evaluate machine-learning predictive models,"Architecture design, training and tuning, cross-validation, risk-prediction models, external validation, model interpretation.",39
U09.07,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Design algorithms and establish their guarantees,"Algorithm/estimator design, complexity and convergence analysis, correctness proofs, algorithmic solution concepts.",20
U09.08,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Develop scientific software and numerical implementations,"Implementing methods as working code: numerical schemes and solvers, analysis pipelines and tools, software prototypes, released packages.",23
U09.09,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,"Verify, validate, and benchmark models","V&V: prediction-vs-data comparison, convergence and grid studies, benchmark suites and synthetic ground truth, ablations, sensitivity and robustness of computational results. Examples: T0244, T2487, T5018, T6525, T6968, T6977.",76
U09.10,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Project scenarios and model decisions,"Scenario projection and counterfactual simulation, decision-analytic and cost-effectiveness models, integrated assessment, policy-rule evaluation.",18
U09.11,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Optimize designs and synthesize control,"Solving optimization for design/operating decisions, control-law and trajectory synthesis, simulation-driven design-parameter optimization.",20
U09.12,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Model biological and epidemiological dynamics,"Population, community, ecosystem, and transmission dynamics models: analytic threshold analysis, simulation, and parameter estimation from surveillance data. Examples: T0941, T4335, T4782, T5500, T5504, T6691. (Members whose activity is purely one of the above modes can instead be filed by mode; this family exists so the applied-dynamics cluster stays legible.)",13
U09.99,U09,Develop and validate computational models to simulate or predict phenomena.,Data Analysis,Other,Tasks under this universal task that did not fit any of its clusters.,1
U10.01,U10,"Draft manuscripts describing research questions, methods, results, and interpretations.",Writing & Communication,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",15
U11.01,U11,Evaluate manuscripts submitted to journals for scientific rigor and contribution.,Peer Review & Service,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",1
U12.01,U12,"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",Ideation & Hypothesis Generation,Frame questions with established theory,"Choosing and applying an existing theoretical framework to motivate and structure a question: the ""apply/draw on/engage with/ground in/incorporate/ integrate X theory when framing research questions"" family.",280
U12.02,U12,"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",Ideation & Hypothesis Generation,Formulate substantive hypotheses and mechanisms,"Writing the hypothesis itself: mechanisms, pathways, risk factors, and relationships to be tested, including mechanism proposals synthesized from prior evidence. Examples: T0108, T3850, T4805, T4986, T6219, T0435.",209
U12.03,U12,"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",Ideation & Hypothesis Generation,Develop new conceptual frameworks and typologies,"Building new organizing structures where existing frameworks fall short: conceptual frameworks, typologies, periodizations, program theories/logic models. Examples: T0087, T0090, T2647, T2700, T3750, T1415.",18
U12.04,U12,"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",Ideation & Hypothesis Generation,Formulate formal models and conjectures,"Stating formal claims to be proved or formally analyzed: mathematical conjectures, formal theoretical models built to derive testable equilibrium predictions. Examples: T0107, T0280, T4794, T4795, T0303, T5113.",6
U13.01,U13,Identify gaps in existing literature to formulate novel research questions.,Ideation & Hypothesis Generation,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",20
U16.01,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Calibrate instruments and characterize their performance,,21
U16.02,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Maintain and service experimental apparatus,"Servicing, troubleshooting, alignment, and upkeep of instruments, vacuum and cryogenic systems, field stations. Examples: T0118, T5295, T5313, T6639, T6650, T5303.",38
U16.03,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Maintain living collections and research organisms,"Culture collections, colonies, live specimen systems, seed banks.",8
U16.04,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Operate safety and containment programs,"Biosafety, hazardous-materials and radiation safety, quarantine and biosecurity procedures. Examples: T0105, T0106, T5129, T5131, T5151, T5519.",10
U16.05,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Manage computing infrastructure and optimize code,"Clusters and jobs, reproducible environments, performance optimization, workflow automation. Examples: T0121, T1682, T5309, T5745, T5746, T0163.",7
U16.06,U16,"Maintain laboratory equipment, software systems, or research infrastructure.",Administration,Build and release research tools and resources,"Custom instrumentation and hardware, software tools, dashboards, packaged community releases, standardized reference resources.",8
U17.01,U17,"Manage research budgets, personnel, and project timelines.",Administration,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",3
U18.01,U18,Observe real-world phenomena to identify patterns worthy of scientific investigation.,Ideation & Hypothesis Generation,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",14
U19.01,U19,Obtain ethical approvals and informed consent for studies involving human subjects.,Data Gathering,Obtain and maintain ethics-board approvals,"IRB/IACUC/ethics-committee applications and protocols, navigating multi-site, multi-country, and special-population review, trial registration.",91
U19.02,U19,Obtain ethical approvals and informed consent for studies involving human subjects.,Data Gathering,Design informed consent and assent procedures,"Consent design for literacy, capacity, age, culture, and coercion contexts; assent; deception and debriefing protocols; waivers for emergency research.",57
U19.03,U19,Obtain ethical approvals and informed consent for studies involving human subjects.,Data Gathering,Protect privacy and confidentiality,"HIPAA and privacy-regulation compliance, de-identification and re-identification risk, sensitive-data safeguards, mandatory-reporting protocols. Examples: T0094, T0811, T3970, T6236, T4265, T5545.",22
U19.04,U19,Obtain ethical approvals and informed consent for studies involving human subjects.,Data Gathering,"Secure community consent, permissions, and permits","Community and Indigenous consultation, data sovereignty, tribal and descendant authority protocols, site/collection permits and access permissions.",18
U19.05,U19,Obtain ethical approvals and informed consent for studies involving human subjects.,Data Gathering,Safeguard participant and animal welfare during research,"Safety-monitoring and stopping rules, adverse-event procedures, incidental findings and crisis protocols, humane endpoints, care/referral obligations.",18
U21.01,U21,"Present research findings at conferences, seminars, and symposia.",Writing & Communication,All tasks,"This universal task has few specialized tasks, so they form a single cluster.",1
U24.01,U24,Review and synthesize the relevant literature to situate a research question within existing knowledge.,Reading & Knowledge Acquisition,Search and assemble study corpora systematically,"Systematic database searches, eligibility screening, reproducible corpus protocols. Examples: T0318, T0457, T2592, T3726, T5107, T6596.",10
U24.02,U24,Review and synthesize the relevant literature to situate a research question within existing knowledge.,Reading & Knowledge Acquisition,Critically appraise studies and methods,"Methodological quality appraisal, standardized appraisal frameworks, critique of measures, instruments, and established practice.",13
U24.03,U24,Review and synthesize the relevant literature to situate a research question within existing knowledge.,Reading & Knowledge Acquisition,Synthesize evidence across studies,"Coding and synthesizing findings across a literature, mapping bodies of work, taxonomies/design spaces of research areas, guideline-informing syntheses, recommended-value derivations. Examples: T0230, T1966, T0286, T6807, T6829, T2270.",18
U24.04,U24,Review and synthesize the relevant literature to situate a research question within existing knowledge.,Reading & Knowledge Acquisition,Situate questions in theory and scholarly debates,"Adopting frameworks from the literature and situating analyses within established debates. Examples: T0170, T0462, T6721, T6725, T6730, T6712.",24
U24.05,U24,Review and synthesize the relevant literature to situate a research question within existing knowledge.,Reading & Knowledge Acquisition,Assess scope conditions of prior findings,"The ""evaluate how X limits generalizability/applicability"" family applied to existing literatures. Examples: T4389, T4423, T4470, T4493, T4510, T4522.",68
