field,subfield_slug,topic_id,topic_name,confidence,reason,n_papers
Law,immigration_law,10216,"Migration, Refugees, and Integration",high,"Refugee integration, asylum policy, migration law",10330
Law,immigration_law,12693,"Migration, Ethnicity, and Economy",medium,"Migration, ethnicity, immigrant economic incorporation",10524
Law,intellectual_property_law,10856,Intellectual Property and Patents,high,Patents and IP directly core,8449
Law,intellectual_property_law,12722,Innovation Policy and R&D,medium,Innovation policy and R&D incentives,5747
Literature,american_literature,14494,American Literature and Culture,high,Directly American literature and culture,1216
Literature,american_literature,14518,American Sports and Literature,medium,American sports writing and literature,1521
Literature,comparative_literature,12678,Themes in Literature Analysis,high,Cross-cultural thematic literary analysis,5300
Literature,comparative_literature,12586,"Folklore, Mythology, and Literature Studies",high,"World literature, myth across traditions",4447
Literature,comparative_literature,10011,"Literature: history, themes, analysis",high,General literary history and criticism,3198
Literature,english_literature,12912,"Shakespeare, Adaptation, and Literary Criticism",high,Shakespeare and English literary criticism,4747
Literature,english_literature,13174,American and British Literature Analysis,high,British and American literature analysis,3155
Literature,english_literature,12974,Modernist Literature and Criticism,high,Anglophone modernist literature criticism,1352
Literature,english_literature,13245,Samuel Beckett and Modernism,high,"Beckett, Anglo-Irish modernist studies",1315
Literature,english_literature,13329,Joseph Conrad and Literature,high,"Conrad, English novel scholarship",845
Literature,english_literature,14494,American Literature and Culture,high,American literature and culture,1216
Literature,european_literature,11794,Early Modern Spanish Literature,high,Early modern Spanish literature is European literature,1138
Literature,european_literature,14021,Medieval European Literature and History,high,Medieval European literature directly relevant,759
Literature,european_literature,14469,Renaissance Literature and Culture,high,Renaissance literature and culture in Europe,1170
Literature,european_literature,12974,Modernist Literature and Criticism,high,Modernist literature largely European,1352
Literature,medieval_and_early_modern_literature,10595,Medieval Literature and History,high,Medieval literature core to subfield,8808
Literature,narrative_studies,13497,Hermeneutics and Narrative Identity,high,Narrative identity and hermeneutics core,1420
Literature,narrative_studies,13590,"Oral History, Memory, Narrative Analysis",high,Oral history and narrative analysis,1188
Literature,narrative_studies,13474,Autobiographical and Biographical Writing,high,Life writing is narrative studies,727
Literature,narrative_studies,12586,"Folklore, Mythology, and Literature Studies",high,Folklore and myth narratives,4447
Literature,narrative_studies,12390,Comics and Graphic Narratives,high,Graphic narrative form analysis,2798
Literature,poetry_and_poetics,12678,Themes in Literature Analysis,high,General literary theme analysis includes poetry,5300
Literature,poetry_and_poetics,12974,Modernist Literature and Criticism,high,Modernist criticism centers on poets,1352
Literature,poetry_and_poetics,13301,Literature Analysis and Criticism,high,"Literary criticism, close reading of verse",1155
Literature,postcolonial_literature,12470,Caribbean and African Literature and Culture,high,Caribbean/African literature is core postcolonial,1218
Literature,postcolonial_literature,12585,North African History and Literature,high,"North African literature, colonial legacies",902
Literature,world_literature,11717,Postcolonial and Cultural Literary Studies,high,Postcolonial literary studies are core world literature,4408
Literature,world_literature,13466,Comparative Literary Analysis and Criticism,high,Comparative literary criticism directly relevant,450
Literature,world_literature,13179,"Literature, Culture, and Criticism",medium,"Transnational literature, culture, criticism",478
Literature,world_literature,12470,Caribbean and African Literature and Culture,medium,Caribbean and African literatures fit,1218
Mathematics,optimization_and_operations_research,10100,Metaheuristic Optimization Algorithms Research,high,Metaheuristics are core optimization research,21095
Philosophy,aesthetics,12632,Visual Culture and Art Theory,high,Visual culture and art theory core,3721
Philosophy,aesthetics,12444,"Art, Politics, and Modernism",high,Modernism and art theory debates,4060
Philosophy,aesthetics,13216,Artistic and Creative Research,medium,"Artistic research, practice-based aesthetics",1710
Philosophy,ethics_and_moral_philosophy,14092,"Ethics, Aesthetics, and Art",high,Directly ethics-focused philosophical work,774
Philosophy,logic_and_philosophy_of_language,13538,Linguistics and Language Analysis,high,Semantics/pragmatics analysis core to philosophy of language,2717
Philosophy,logic_and_philosophy_of_language,12558,Wittgensteinian philosophy and applications,high,Wittgenstein: paradigmatic philosophy of language,1740
Philosophy,philosophy_of_mind,11477,"Epistemology, Ethics, and Metaphysics",high,Core analytic metaphysics/epistemology includes consciousnes,9001
Philosophy,philosophy_of_science,10778,Philosophy and History of Science,high,Directly philosophy and history of science,9842
Philosophy,political_philosophy,12517,Seventeenth-Century Political and Philosophical Thought,high,Early modern political thought core,2384
Philosophy,political_philosophy,12397,Critical Theory and Philosophy,high,Critical theory is political philosophy,3724
Philosophy,political_philosophy,12295,"Foucault, Power, and Ethics",high,"Power, biopolitics, governmentality",3384
Philosophy,political_philosophy,12957,"War, Ethics, and Justification",high,Just war theory,2585
Physics & Astronomy,biophysics,11162,Enzyme Structure and Function,high,"Protein/enzyme structure-function, core biophysics",16056
Psychology,neuropsychology,10042,Neural and Behavioral Psychology Studies,high,Neural and behavioral psychology core overlap,23861
Psychology,neuropsychology,10009,Dementia and Cognitive Impairment Research,high,Cognitive impairment assessment is neuropsychology,29557
Psychology,neuropsychology,10429,EEG and Brain-Computer Interfaces,medium,EEG measures of cognition,33999
Psychology,neuropsychology,10241,Functional Brain Connectivity Studies,medium,Brain connectivity linked to cognition,25679
Psychology,neuropsychology,10086,Alzheimer's disease research and treatments,medium,Alzheimer's cognitive testing overlap,34274
Psychology,neuropsychology,10537,Attention Deficit Hyperactivity Disorder,medium,ADHD executive function assessment,22238
Psychology,neuropsychology,10106,Autism Spectrum Disorder Research,medium,Autism cognitive profiles,28189
Psychology,neuropsychology,10427,Visual perception and processing mechanisms,medium,Perception and cognitive processing,29588
Religion,buddhist_and_eastern_religions,10893,Chinese history and philosophy,high,"Chinese philosophy includes Confucianism, Daoism, Buddhism",13656
Religion,christian_theology,12409,Reformation and Early Modern Christianity,high,Reformation Christianity is core theology,7442
Religion,comparative_religion,13005,Religious Studies and Spiritual Practices,high,Religious studies and spiritual practices broadly,4395
Religion,comparative_religion,11563,Indian and Buddhist Studies,high,"Eastern religions, comparative traditions",3015
Religion,comparative_religion,13150,Study and Philosophy of Religion,high,Study and philosophy of religion,489
Religion,comparative_religion,13059,"Religion, Ecology, and Ethics",medium,"Cross-traditional religion, ecology, ethics",3308
Religion,islamic_studies,11203,Jewish and Middle Eastern Studies,high,Middle Eastern studies overlaps Islamic scholarship heavily,14630
Religion,theology_and_ethics,13347,Christian Theology and Mission,high,Core Christian theology and mission work,4187
Religion,theology_and_ethics,13144,Theology and Philosophy of Evil,high,Theodicy: theology plus moral philosophy,4363
Sociology,social_movements_and_collective_action,11421,Labor Movements and Unions,high,Labor movements are core collective action,14350
Sociology,urban_sociology,11645,"Urban, Neighborhood, and Segregation Studies",high,Neighborhood segregation is core urban sociology,9215
Statistics,biostatistics,10804,"Health Systems, Economic Evaluations, Quality of Life",high,"Health outcomes, QoL measurement, evaluation methods",26791
Statistics,causal_inference,11911,Spatial and Panel Data Analysis,high,"Panel/spatial econometrics, DiD-style causal estimation",5575
Statistics,causal_inference,10206,Meta-analysis and systematic reviews,medium,"Evidence synthesis, treatment effect estimation",8472
Statistics,multivariate_analysis,10467,Psychometric Methodologies and Testing,high,"Factor analysis, SEM, psychometric multivariate methods",4960
Statistics,nonparametric_methods,10206,Meta-analysis and systematic reviews,medium,Meta-analysis uses rank/distribution-free statistical method,8472
Statistics,nonparametric_methods,10467,Psychometric Methodologies and Testing,medium,"Psychometrics adjoins reliability/agreement, nonparametric I",4960
Veterinary Medicine,veterinary_preventive_medicine_and_animal_health,11560,Animal Disease Management and Epidemiology,high,"Animal disease epidemiology, herd health surveillance",12381
