field,subfield,task,n_papers,n_involved,prevalence
Computer Science,Algorithms & Theory of Computation,Fit complexity models to empirical runtime data to validate theoretical predictions.,100,9,0.09
Computer Science,Algorithms & Theory of Computation,"Prove correctness of algorithms through mathematical induction, loop invariants, or formal verification techniques.",100,63,0.63
Computer Science,Algorithms & Theory of Computation,Select and configure baseline algorithms for fair comparative evaluation of proposed methods.,100,24,0.24
Literature,American Literature,"Analyze recurring motifs, symbols, and cultural references across bodies of American literary works to identify interpretive patterns.",100,78,0.78
Literature,American Literature,"Apply literary theoretical frameworks such as New Historicism, postcolonialism, or feminist criticism to frame interpretive research questions about American texts.",100,57,0.57
Literature,American Literature,"Assess whether interpretive claims about American literary texts apply across different historical periods, regional traditions, or demographic readerships.",100,3,0.03
Literature,American Literature,"Code thematic patterns, narrative structures, and rhetorical strategies in American literary texts through close reading methods.",100,87,0.87
Literature,American Literature,"Conduct archival research in libraries, special collections, or digital repositories to gather primary documents related to American authors and literary movements.",100,12,0.12
Literature,American Literature,Design interview protocols to gather oral histories or reader responses related to American literary works and their cultural reception.,100,3,0.03
Literature,American Literature,"Gather unpublished manuscripts, correspondence, and personal papers of American authors from institutional archives for textual analysis.",100,6,0.06
Political Science,American Politics,Acquire and merge voter file data with survey responses or administrative records for individual-level analysis.,80,9,0.1125
Political Science,American Politics,"Address selection bias in observational studies of voter turnout, campaign contact, or political participation.",80,7,0.0875
Political Science,American Politics,"Apply theories of partisan polarization, realignment, or sorting to frame hypotheses about voter behavior or elite decision-making.",80,23,0.2875
Political Science,American Politics,"Assess whether findings from specific states, districts, or election cycles generalize to broader American political contexts.",80,17,0.2125
Political Science,American Politics,"Clean and standardize geographic identifiers across election data, census boundaries, and survey samples.",80,19,0.2375
Political Science,American Politics,Construct survey experiments with randomized treatments to test causal claims about political communication or framing effects.,80,1,0.0125
Political Science,American Politics,"Design survey items measuring political attitudes, partisanship, ideology, or policy preferences using validated scales.",80,6,0.075
Political Science,American Politics,"Draw on institutional theories of Congress, the presidency, or federalism to explain policy outcomes or political processes.",80,30,0.375
Political Science,American Politics,Evaluate the external validity of experimental results conducted on convenience samples for understanding mass political behavior.,80,0,0.0
Political Science,American Politics,Field nationally representative or state-level surveys to measure public opinion on political issues and candidates.,80,4,0.05
Political Science,American Politics,"Negotiate data-sharing agreements with campaigns, advocacy organizations, or government agencies for access to proprietary political data.",80,7,0.0875
Political Science,American Politics,Recode open-ended survey responses about political issues or candidate evaluations into analyzable categories.,80,3,0.0375
Political Science,American Politics,"Use matching, weighting, or regression discontinuity designs to estimate causal effects from non-experimental political data.",80,10,0.125
Mathematics,Analysis & PDEs,Apply fixed point theorems to prove existence and uniqueness of solutions for nonlinear equations.,99,35,0.353535
Mathematics,Analysis & PDEs,Compute spectral properties of differential and integral operators to analyze solution stability.,97,14,0.14433
Mathematics,Analysis & PDEs,Construct explicit solutions or solution representations for differential equations using transform methods and special functions.,94,24,0.255319
Mathematics,Analysis & PDEs,Derive a priori estimates for solutions of partial differential equations to establish existence and regularity properties.,100,35,0.35
Mathematics,Analysis & PDEs,Derive asymptotic expansions to characterize solution behavior in limiting regimes.,97,14,0.14433
Mathematics,Analysis & PDEs,Establish energy estimates and conservation laws for evolution equations.,99,24,0.242424
Mathematics,Analysis & PDEs,Perform computational experiments to explore solution behavior and generate conjectures for rigorous analysis.,94,9,0.095745
Chemistry,Analytical Chemistry,Apply chemometric techniques including principal component analysis and partial least squares regression to correlate spectral data with sample properties.,100,10,0.1
Chemistry,Analytical Chemistry,Assess method precision through replicate analyses and express results with appropriate confidence intervals.,100,70,0.7
Chemistry,Analytical Chemistry,"Calculate measurement uncertainty by combining contributions from sample preparation, calibration standards, and instrumental variability.",100,6,0.06
Chemistry,Analytical Chemistry,Calculate theoretical detection limits and sensitivity parameters for analytical methods based on instrument specifications and sample characteristics.,100,15,0.15
Chemistry,Analytical Chemistry,"Characterize instrument performance through system suitability tests including resolution, peak shape, and retention time reproducibility.",100,19,0.19
Chemistry,Analytical Chemistry,Derivatize analytes to enhance detection sensitivity or improve chromatographic separation characteristics.,100,14,0.14
Chemistry,Analytical Chemistry,"Design method validation experiments to establish selectivity, linearity, accuracy, and precision for quantitative analyses.",100,53,0.53
Chemistry,Analytical Chemistry,Extract and purify target analytes from complex sample matrices using solid-phase extraction or liquid-liquid extraction techniques.,100,32,0.32
Chemistry,Analytical Chemistry,Fit calibration curves to concentration-response data using linear or nonlinear regression models.,100,65,0.65
Chemistry,Analytical Chemistry,"Optimize separation conditions including mobile phase composition, temperature, and flow rates for chromatographic methods.",100,34,0.34
Chemistry,Analytical Chemistry,Process mass spectral data through background subtraction and isotope pattern deconvolution for accurate mass determination.,100,6,0.06
History,Ancient History,Account for preservation bias and differential survival of ancient materials when interpreting patterns.,100,40,0.4
History,Ancient History,Address gaps and fragmentary evidence in the archaeological or textual record during analysis.,100,89,0.89
History,Ancient History,"Apply theoretical frameworks from ancient political, economic, or religious institutions to interpret material and textual evidence.",100,52,0.52
History,Ancient History,"Assess whether patterns observed in one ancient site, region, or period can be extended to broader ancient contexts.",100,49,0.49
History,Ancient History,"Categorize themes and content in ancient literary, documentary, or epigraphic sources.",100,91,0.91
History,Ancient History,"Code iconographic, stylistic, or typological attributes of artifacts and visual evidence.",100,28,0.28
History,Ancient History,"Collect primary data through archaeological excavation, survey, or systematic surface collection.",100,1,0.01
History,Ancient History,Evaluate the representativeness of surviving ancient sources when drawing conclusions about past populations.,100,62,0.62
History,Ancient History,"Frame research questions using models of state formation, trade networks, or social organization in ancient societies.",100,17,0.17
History,Ancient History,Standardize and reconcile artifact classifications and chronological attributions across different excavation records.,100,14,0.14
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Acquire ultrasound imaging data to assess nerve block placement accuracy and regional anesthesia outcomes.,100,6,0.06
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Analyze dose-response relationships for anesthetic and analgesic agents accounting for patient-specific covariates.,100,4,0.04
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,"Analyze time-to-event outcomes for postoperative complications, recovery milestones, or chronic pain development.",100,13,0.13
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,"Collect blood samples to measure drug concentrations, inflammatory markers, or coagulation parameters during surgery.",100,5,0.05
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Coordinate with operating room staff and surgical teams to facilitate intraoperative data collection and patient enrollment.,100,44,0.44
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,"Design perioperative clinical trials with endpoints measuring pain scores, opioid consumption, and functional recovery.",100,26,0.26
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Design studies evaluating hemodynamic stability and cardiovascular outcomes during anesthetic management.,100,28,0.28
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Develop hypotheses regarding anesthetic agent effects on organ systems and patient outcomes.,100,17,0.17
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Estimate treatment effects of analgesic interventions while adjusting for surgical complexity and patient comorbidities.,100,8,0.08
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Formulate hypotheses about mechanisms of acute and chronic pain pathways to identify therapeutic targets.,100,7,0.07
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Harmonize pain assessment scales and sedation scoring systems across multi-site perioperative studies.,100,8,0.08
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Obtain neuroimaging data to investigate central nervous system effects of anesthetic agents or chronic pain conditions.,100,2,0.02
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Plan randomized controlled trials comparing regional anesthesia techniques to general anesthesia for surgical procedures.,100,4,0.04
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Recruit surgical patients for studies evaluating anesthetic techniques or perioperative interventions.,100,50,0.5
Medicine & Clinical Sciences,Anesthesiology & Pain Medicine,Standardize anesthesia procedure codes and drug classifications across different institutional databases.,100,0,0.0
Agricultural Sciences,Animal Science,"Acquire ultrasound images to assess body composition, reproductive status, or organ morphology.",100,4,0.04
Agricultural Sciences,Animal Science,Analyze production performance data across treatment groups using mixed models accounting for repeated measures.,100,52,0.52
Agricultural Sciences,Animal Science,Capture radiographic or endoscopic images for diagnostic or research purposes in animals.,100,0,0.0
Agricultural Sciences,Animal Science,"Collect semen, oocytes, or embryos for reproductive physiology studies.",100,2,0.02
Agricultural Sciences,Animal Science,Compare disease incidence or mortality rates between treatment and control animal groups.,100,15,0.15
Agricultural Sciences,Animal Science,Design animal housing and management protocols that control for environmental variables affecting experimental outcomes.,100,53,0.53
Agricultural Sciences,Animal Science,"Design feeding trials with appropriate dietary treatments, adaptation periods, and measurement endpoints.",100,52,0.52
Agricultural Sciences,Animal Science,Develop hypotheses regarding host-pathogen interactions in livestock disease processes.,100,2,0.02
Agricultural Sciences,Animal Science,Document pain management and anesthesia protocols for invasive procedures in research animals.,100,9,0.09
Agricultural Sciences,Animal Science,Establish pen or paddock replication strategies to account for group effects in livestock studies.,100,20,0.2
Agricultural Sciences,Animal Science,Evaluate behavioral observations using appropriate statistical methods for ethological data.,100,8,0.08
Agricultural Sciences,Animal Science,"Formulate hypotheses about nutritional interventions and their effects on animal growth, reproduction, or health outcomes.",100,41,0.41
Agricultural Sciences,Animal Science,Generate microbiome sequencing data from gastrointestinal or reproductive tract samples.,100,6,0.06
Agricultural Sciences,Animal Science,Implement biosecurity measures to prevent disease transmission between research animal populations.,100,4,0.04
Agricultural Sciences,Animal Science,Obtain genotyping data for genetic evaluation and marker-assisted selection studies.,100,3,0.03
Agricultural Sciences,Animal Science,"Prepare IACUC protocols detailing animal handling, housing, and humane endpoints for livestock or companion animal research.",100,46,0.46
Agricultural Sciences,Animal Science,Process microbial sequencing data to characterize gut or rumen microbiome composition.,100,7,0.07
Languages & Linguistics,Applied Linguistics & Language Teaching,"Analyze learner language samples for grammatical accuracy, lexical complexity, or developmental features using error analysis or interlanguage frameworks.",100,10,0.1
Languages & Linguistics,Applied Linguistics & Language Teaching,Apply second language acquisition theories such as input hypothesis or sociocultural theory when framing research questions about language learning processes.,100,25,0.25
Languages & Linguistics,Applied Linguistics & Language Teaching,"Code classroom interaction data for discourse moves, feedback types, or turn-taking patterns using established coding schemes.",100,9,0.09
Languages & Linguistics,Applied Linguistics & Language Teaching,"Collect spoken or written language samples from learners through elicitation tasks, classroom recordings, or online interactions.",100,38,0.38
Languages & Linguistics,Applied Linguistics & Language Teaching,"Conduct classroom observations to document instructional practices, teacher-student interactions, or learner participation patterns.",100,18,0.18
Languages & Linguistics,Applied Linguistics & Language Teaching,"Control for learner proficiency level, first language background, and prior instruction when analyzing effects of pedagogical interventions.",100,22,0.22
Languages & Linguistics,Applied Linguistics & Language Teaching,"Coordinate with language programs, schools, or testing organizations to recruit learner participants or access instructional materials.",100,69,0.69
Languages & Linguistics,Applied Linguistics & Language Teaching,"Design questionnaires to measure language learner attitudes, motivation, anxiety, or self-efficacy toward target language use.",100,20,0.2
Languages & Linguistics,Applied Linguistics & Language Teaching,Design stimulated recall protocols to elicit learner or teacher reflections on language use during instructional tasks.,100,4,0.04
Languages & Linguistics,Applied Linguistics & Language Teaching,Develop language proficiency assessments or placement instruments aligned with established frameworks such as CEFR or ACTFL guidelines.,100,3,0.03
Languages & Linguistics,Applied Linguistics & Language Teaching,"Develop semi-structured interview guides to explore language learner experiences, identities, or perceptions of classroom practices.",100,23,0.23
Languages & Linguistics,Applied Linguistics & Language Teaching,"Evaluate whether language learning findings will transfer across learner proficiency levels, first language backgrounds, or instructional contexts.",100,9,0.09
Languages & Linguistics,Applied Linguistics & Language Teaching,Obtain informed consent from language learners and instructors while addressing multilingual communication needs and power dynamics in educational settings.,100,37,0.37
Mathematics,Applied Mathematics,Apply perturbation methods to obtain approximate solutions for complex systems.,100,6,0.06
Mathematics,Applied Mathematics,Conduct sensitivity analysis to quantify how model outputs depend on parameter variations.,100,33,0.33
Mathematics,Applied Mathematics,Derive analytical solutions to differential equations arising from physical or biological systems.,100,33,0.33
Mathematics,Applied Mathematics,Develop computational algorithms to simulate dynamical systems over time.,100,64,0.64
Mathematics,Applied Mathematics,Estimate model parameters by fitting mathematical models to empirical data.,100,41,0.41
Mathematics,Applied Mathematics,Formulate mathematical models from governing equations to predict system behavior.,100,85,0.85
Mathematics,Applied Mathematics,Implement numerical schemes to solve ordinary and partial differential equations.,100,63,0.63
Mathematics,Applied Mathematics,Optimize computational code to improve simulation efficiency and scalability.,100,4,0.04
Mathematics,Applied Mathematics,Perform Monte Carlo simulations to estimate statistical properties of stochastic models.,100,15,0.15
Mathematics,Applied Mathematics,Perform asymptotic analysis to approximate solutions in limiting regimes.,100,17,0.17
Mathematics,Applied Mathematics,Propagate uncertainties through mathematical models to assess prediction reliability.,100,10,0.1
Mathematics,Applied Mathematics,Validate mathematical models by comparing predictions against independent datasets.,100,44,0.44
Mathematics,Applied Mathematics,Verify numerical methods through convergence testing and error analysis.,100,8,0.08
Physics & Astronomy,Applied Physics & Instrumentation,"Acquire spectroscopic data using scintillators, semiconductor detectors, or photomultiplier systems.",100,26,0.26
Physics & Astronomy,Applied Physics & Instrumentation,Apply baseline subtraction and background correction to spectroscopic measurements.,100,19,0.19
Physics & Astronomy,Applied Physics & Instrumentation,Calculate signal-to-noise ratios and detection limits for proposed instrument configurations.,100,19,0.19
Physics & Astronomy,Applied Physics & Instrumentation,Calibrate detector energy response using known radioactive sources or reference standards.,100,30,0.3
Physics & Astronomy,Applied Physics & Instrumentation,"Characterize spatial resolution, linearity, and dynamic range of imaging systems.",100,25,0.25
Physics & Astronomy,Applied Physics & Instrumentation,Collect X-ray fluorescence or diffraction spectra for material characterization.,100,3,0.03
Physics & Astronomy,Applied Physics & Instrumentation,Compare measured detector response curves against theoretical or simulated predictions.,100,52,0.52
Physics & Astronomy,Applied Physics & Instrumentation,Derive expected detector response functions from physical interaction models and material properties.,100,29,0.29
Physics & Astronomy,Applied Physics & Instrumentation,Design shielding configurations to minimize background radiation and electromagnetic interference in measurements.,100,14,0.14
Physics & Astronomy,Applied Physics & Instrumentation,"Establish controlled temperature, vacuum, or humidity conditions for precision instrument testing.",100,37,0.37
Physics & Astronomy,Applied Physics & Instrumentation,"Fabricate thin films, coatings, or nanostructures for detector active elements.",100,18,0.18
Physics & Astronomy,Applied Physics & Instrumentation,Fit peak shapes and extract spectral parameters from radiation detection data.,100,38,0.38
Physics & Astronomy,Applied Physics & Instrumentation,"Maintain vacuum systems, cryogenic equipment, and cooling infrastructure for detector operation.",100,31,0.31
Physics & Astronomy,Applied Physics & Instrumentation,Measure and document instrument timing resolution and dead time characteristics.,100,15,0.15
Physics & Astronomy,Applied Physics & Instrumentation,Model electromagnetic field distributions and signal propagation in sensor designs.,100,21,0.21
Physics & Astronomy,Applied Physics & Instrumentation,Prepare scintillator crystals or radiation-sensitive materials for detector assembly.,100,11,0.11
Physics & Astronomy,Applied Physics & Instrumentation,Propagate systematic and statistical uncertainties through detector efficiency calculations.,100,17,0.17
Physics & Astronomy,Applied Physics & Instrumentation,"Quantify position, energy, and timing resolution uncertainties in detector performance metrics.",100,27,0.27
Physics & Astronomy,Applied Physics & Instrumentation,Record force-displacement curves and surface topography using scanning probe microscopes.,100,2,0.02
Physics & Astronomy,Applied Physics & Instrumentation,Remove electronic noise and artifacts from detector signals using digital filtering techniques.,100,14,0.14
Physics & Astronomy,Applied Physics & Instrumentation,"Service and troubleshoot electronic readout systems, data acquisition hardware, and signal processing chains.",100,21,0.21
Physics & Astronomy,Applied Physics & Instrumentation,Simulate particle transport and energy deposition in detector geometries using Monte Carlo methods.,100,15,0.15
Agricultural Sciences,Aquaculture & Fisheries,Analyze catch data and population metrics to assess stock status and fishing pressure effects.,100,42,0.42
Agricultural Sciences,Aquaculture & Fisheries,"Compare growth performance, survival rates, or disease prevalence between experimental and control groups using statistical tests.",100,31,0.31
Agricultural Sciences,Aquaculture & Fisheries,"Design feeding trials with appropriate stocking densities, replication, and control diets to evaluate aquaculture nutrition.",100,15,0.15
Agricultural Sciences,Aquaculture & Fisheries,Develop hypotheses regarding disease transmission pathways and parasite life cycles in cultured aquatic species.,100,1,0.01
Agricultural Sciences,Aquaculture & Fisheries,"Formulate hypotheses about fish growth rates, reproduction, or survival under varying environmental or dietary conditions.",100,23,0.23
Agricultural Sciences,Aquaculture & Fisheries,Generate or acquire genomic and transcriptomic data to assess genetic diversity or disease resistance in aquatic populations.,100,1,0.01
Agricultural Sciences,Aquaculture & Fisheries,"Obtain IACUC approval for research involving fish, shellfish, or other aquatic organisms.",100,0,0.0
Agricultural Sciences,Aquaculture & Fisheries,Plan controlled experiments comparing water quality parameters across treatment tanks or pond systems.,100,11,0.11
Agricultural Sciences,Aquaculture & Fisheries,Process environmental DNA or microbiome sequencing data from aquatic samples for species detection and community analysis.,100,1,0.01
Anthropology,Archaeology,"Access museum collections, site archives, or legacy excavation records for comparative or reanalysis studies.",100,67,0.67
Anthropology,Archaeology,Account for differential preservation and taphonomic processes when interpreting artifact and faunal assemblages.,100,70,0.7
Anthropology,Archaeology,Address sampling biases introduced by excavation strategies or survey coverage when analyzing spatial distributions.,100,34,0.34
Anthropology,Archaeology,"Apply culture-historical, processual, or post-processual theoretical frameworks to interpret material culture and site formation processes.",100,16,0.16
Anthropology,Archaeology,Assess the representativeness of excavated samples relative to broader settlement patterns or past populations.,100,22,0.22
Anthropology,Archaeology,"Code field notes and excavation records to identify patterns in site use, deposition, or disturbance.",100,19,0.19
Anthropology,Archaeology,"Collaborate with specialists in archaeobotany, zooarchaeology, or geoarchaeology for integrated analyses of excavated materials.",100,38,0.38
Anthropology,Archaeology,Conduct systematic pedestrian surveys to identify and record surface artifacts and site locations.,100,13,0.13
Anthropology,Archaeology,Consult with descendant communities and Indigenous groups regarding research involving ancestral sites or human remains.,100,5,0.05
Anthropology,Archaeology,"Coordinate with museums, cultural heritage agencies, or landowners to secure site access and artifact study permissions.",100,46,0.46
Anthropology,Archaeology,Design oral history or ethnographic interview protocols to document traditional knowledge relevant to archaeological interpretation.,100,4,0.04
Anthropology,Archaeology,Evaluate whether artifact typologies and chronological sequences developed in one region apply to other geographic or temporal contexts.,100,26,0.26
Anthropology,Archaeology,"Excavate stratigraphic units using controlled methods to recover artifacts, ecofacts, and features in documented contexts.",100,44,0.44
Anthropology,Archaeology,"Frame research questions using theories of human-environment interaction, migration, or social complexity.",100,56,0.56
Anthropology,Archaeology,Obtain permits from government agencies and landowners for archaeological survey and excavation activities.,100,45,0.45
Anthropology,Archaeology,Reconcile inconsistent stratigraphic or typological classifications in legacy datasets.,100,29,0.29
Anthropology,Archaeology,"Record spatial provenience of finds using total stations, GPS, or photogrammetry during fieldwork.",100,35,0.35
Arts,Architecture & Design,Account for survivorship bias when studying historical buildings and design objects that remain extant.,100,8,0.08
Arts,Architecture & Design,Analyze oral histories and designer interviews to identify patterns in design decision-making and professional practice.,100,19,0.19
Arts,Architecture & Design,Apply architectural theory and design principles when framing research questions about built environments and spatial practices.,100,85,0.85
Arts,Architecture & Design,Assess whether findings about architectural styles or design practices transfer across different cultural and geographic contexts.,100,17,0.17
Arts,Architecture & Design,"Code visual and material evidence from buildings, objects, and archival sources for thematic analysis.",100,58,0.58
Arts,Architecture & Design,Conduct post-occupancy evaluations to assess building performance and user satisfaction.,100,3,0.03
Arts,Architecture & Design,Conduct site observations and spatial analyses to document how people use and navigate built environments.,100,40,0.4
Arts,Architecture & Design,"Coordinate with heritage organizations, design firms, and property owners to access buildings and archival materials.",100,30,0.3
Arts,Architecture & Design,"Design interview protocols to document designer intentions, creative processes, and professional practices.",100,18,0.18
Arts,Architecture & Design,"Design surveys to measure user perceptions, spatial experiences, and satisfaction with built environments.",100,4,0.04
Arts,Architecture & Design,Develop focus group protocols to gather stakeholder perspectives on architectural and urban design proposals.,100,1,0.01
Arts,Architecture & Design,Develop questionnaires to assess community attitudes toward heritage preservation and adaptive reuse projects.,100,1,0.01
Arts,Architecture & Design,Engage with theories of material culture and craft traditions when investigating design objects and practices.,100,21,0.21
Arts,Architecture & Design,Evaluate the applicability of historical design precedents to contemporary architectural and design contexts.,100,62,0.62
Arts,Architecture & Design,"Perform visual documentation through photography, sketching, and measured drawings of buildings and design objects.",100,62,0.62
History,Art & Intellectual History,Assess whether interpretive claims about artistic movements or intellectual traditions apply across different national or regional contexts.,100,38,0.38
History,Art & Intellectual History,"Code thematic content in correspondence, treatises, or critical writings to trace intellectual networks and debates.",100,54,0.54
History,Art & Intellectual History,"Conduct archival research in libraries, museums, and special collections to locate primary source materials.",100,41,0.41
History,Art & Intellectual History,"Develop interview protocols for oral history projects with artists, collectors, curators, or other cultural practitioners.",100,0,0.0
History,Art & Intellectual History,Establish provenance chains and attribution histories by cross-referencing documentary evidence with material analysis.,100,7,0.07
History,Art & Intellectual History,Evaluate the extent to which findings about specific historical periods or figures illuminate broader patterns in cultural or intellectual history.,100,95,0.95
