task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
Develop hypotheses regarding plant-soil-microbe interactions affecting nutrient uptake and crop productivity.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,9,58.58,311.58,medium
"Design field trials with replicated plots, randomized block designs, and appropriate check varieties to evaluate crop performance.",subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,9,15.83,88.17,medium
Plan greenhouse experiments with controlled environmental conditions to isolate effects of specific stressors on plant growth.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,10,25.42,217.5,medium
Design crossing schemes and breeding populations for genetic mapping or variety development.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,10,50.75,4377.0,medium
"Generate or acquire genomic data for marker-assisted selection, QTL mapping, or genome-wide association studies.",subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,9,101.83,1683.5,medium
Obtain transcriptomic data to characterize gene expression responses to environmental stresses or treatments.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,12,53.65,1106.1,medium
"Acquire phenotypic imaging data using drones, sensors, or automated platforms to assess crop growth and health.",subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,10,5.98,29.98,medium
"Harvest, process, and weigh plant material from sample plots to quantify biomass and yield",field,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,12,46.25,105.92,medium
Record or derive trait and environmental descriptors for crops to characterize plants and their growing conditions,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,12,120.92,2805.5,medium
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,9,128.42,900.4,medium
Compile datasets of published field-experiment results through systematic literature searches with predefined eligibility criteria.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,13,205.62,312.12,medium
Process and analyze genotyping data for genetic diversity assessment or marker-trait associations.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,12,28.45,88.08,medium
"Analyze yield data and agronomic traits across treatments, locations, or years using appropriate statistical models.",subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,10,43.38,46.13,medium
Compare physiological measurements between stressed and control plants to quantify treatment effects.,subfield,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,12,32.98,41.65,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Crop Science & Agronomy,8,15.52,70.5,medium
Formulate hypotheses about host-pathogen interaction mechanisms and plant defense signaling pathways.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,59.0,88.17,medium
Develop hypotheses regarding pathogen virulence factors and their roles in disease development.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,8,88.83,128.83,medium
Propose mechanisms of plant resistance gene function against specific pathogen classes.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,57.5,67.33,medium
"Characterize the function of candidate genes, proteins, or isolates through laboratory manipulation and assay of organisms",subfield,Life Sciences,Agricultural Sciences,Plant Pathology,14,267.6,2495.18,medium
"Design inoculation experiments with appropriate pathogen doses, application methods, and uninoculated controls.",subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,15.33,35.83,medium
Plan disease trials with randomized plot layouts to account for environmental variation in field or greenhouse settings.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,9,13.75,19.17,medium
Design experiments to evaluate efficacy of disease management treatments across multiple pathogen isolates.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,25.23,80.23,medium
Collect diseased plant tissue samples from field sites for pathogen isolation and identification.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,6.27,6.27,medium
"Isolate and purify fungal, bacterial, or oomycete pathogens from symptomatic plant tissues.",subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,14.8,209.57,medium
Prepare pathogen inoculum at standardized concentrations for controlled infection assays.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,2.93,234.53,medium
Sample insect vectors to assess pathogen transmission and vector population dynamics.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,129.28,1030.45,medium
Generate transcriptomic data from infected plant tissues to characterize host defense responses.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,49.65,759.23,medium
Obtain pathogen genome sequences for phylogenetic analysis and virulence gene identification.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,14,57.33,764.82,medium
Capture microscopy images of pathogen colonization patterns and host cellular responses.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,25.32,47.93,medium
Document disease symptom progression through systematic photography of infected plants over time.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,29.53,29.53,medium
"Record disease incidence, severity ratings, and environmental conditions throughout experimental trials.",subfield,Life Sciences,Agricultural Sciences,Plant Pathology,10,61.38,61.38,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Plant Pathology,8,9.53,14.0,medium
Validate new measurements or assays against established reference methods to assess reliability,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,13,75.75,208.35,medium
Develop custom instrumentation or computational tools tailored to specific research measurement needs,domain,Life Sciences,Agricultural Sciences,Plant Pathology,9,206.67,696.0,medium
Isolate and enumerate microbial populations from soil and plant samples to quantify their densities,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,17.75,113.92,medium
Characterize pathogen isolates in the laboratory to determine their responses and genetic variation,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,12,201.5,1134.97,medium
Isolate microorganisms from environmental samples and screen them for antagonistic activity against target pathogens.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,52.73,1442.87,medium
Compare gene content across related genomes using orthology clustering to identify conserved and lineage-specific gene families.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,26.0,112.23,medium
"Predict protein features from pathogen sequence data, such as secretion signals or transmembrane domains, to identify and prioritize candidate effectors.",subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,14.2,38.95,medium
Elucidate the chemical structures of isolated bioactive compounds using spectroscopic and mass spectrometric analysis.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,12,36.25,89.25,medium
Clone candidate genes and mutant alleles into expression vectors to build constructs for functional assays.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,9,29.88,184.68,medium
Process sequencing data to identify pathogen species or strains using reference databases.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,17.27,408.9,medium
Analyze RNA-seq data to identify differentially expressed plant defense genes following infection.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,13.03,24.58,medium
Compare disease severity scores between resistant and susceptible plant genotypes using appropriate statistical methods.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,9,7.87,7.87,medium
Analyze treatment efficacy data from fungicide or biocontrol trials using statistical models.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,11.28,11.28,medium
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,Life Sciences,Agricultural Sciences,Plant Pathology,9,18.77,26.9,medium
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,Life Sciences,Agricultural Sciences,Plant Pathology,8,28.83,45.0,medium
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,Life Sciences,Agricultural Sciences,Plant Pathology,10,38.12,199.75,medium
Quantify specific molecular targets in biological samples using targeted PCR-based assays,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,11,23.27,27.37,medium
Detect and characterize target proteins in samples using gel electrophoresis with blot-based detection,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,12,6.05,27.35,medium
Assign putative gene functions by annotating sequences through homology and orthology database searches.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,9,22.63,70.53,medium
Develop molecular markers from sequence data for genotyping and genetic mapping.,subfield,Life Sciences,Agricultural Sciences,Plant Pathology,12,68.42,102.03,medium
"Formulate hypotheses about nutritional interventions and their effects on animal growth, reproduction, or health outcomes.",subfield,Life Sciences,Agricultural Sciences,Animal Science,9,38.08,312.67,medium
Develop hypotheses regarding host-pathogen interactions in livestock disease processes.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,67.75,121.92,medium
"Design feeding trials with appropriate dietary treatments, adaptation periods, and measurement endpoints.",subfield,Life Sciences,Agricultural Sciences,Animal Science,14,39.75,575.08,medium
Design animal housing and management protocols that control for environmental variables affecting experimental outcomes.,subfield,Life Sciences,Agricultural Sciences,Animal Science,11,33.25,599.67,medium
Establish pen or paddock replication strategies to account for group effects in livestock studies.,subfield,Life Sciences,Agricultural Sciences,Animal Science,11,14.07,354.23,medium
"Prepare IACUC protocols detailing animal handling, housing, and humane endpoints for livestock or companion animal research.",subfield,Life Sciences,Agricultural Sciences,Animal Science,14,20.67,591.83,medium
Document pain management and anesthesia protocols for invasive procedures in research animals.,subfield,Life Sciences,Agricultural Sciences,Animal Science,14,14.1,131.43,medium
Implement biosecurity measures to prevent disease transmission between research animal populations.,subfield,Life Sciences,Agricultural Sciences,Animal Science,13,91.5,1401.5,medium
"Collect semen, oocytes, or embryos for reproductive physiology studies.",subfield,Life Sciences,Agricultural Sciences,Animal Science,13,32.33,133.75,medium
Generate microbiome sequencing data from gastrointestinal or reproductive tract samples.,subfield,Life Sciences,Agricultural Sciences,Animal Science,10,28.5,91.75,medium
Obtain genotyping data for genetic evaluation and marker-assisted selection studies.,subfield,Life Sciences,Agricultural Sciences,Animal Science,10,63.17,1028.83,medium
"Acquire ultrasound images to assess body composition, reproductive status, or organ morphology.",subfield,Life Sciences,Agricultural Sciences,Animal Science,12,12.52,12.85,medium
Capture radiographic or endoscopic images for diagnostic or research purposes in animals.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,2.47,17.93,medium
Characterize microbial isolates with laboratory assays to determine their functional traits,field,Life Sciences,Agricultural Sciences,Animal Science,12,54.67,620.25,medium
Quantify specific molecular targets in biological samples using targeted PCR-based assays,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,57.38,77.0,medium
"Measure gas fluxes from soils, materials, or animals using chamber-based sampling and gas analysis",subfield,Life Sciences,Agricultural Sciences,Animal Science,11,23.12,63.57,medium
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,Animal Science,9,15.35,302.95,medium
Conduct in vitro incubations of feed or food materials to estimate digestibility and fermentation,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,34.07,87.95,medium
Perform routine clinical health monitoring and prophylactic treatment of research animals.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,6.92,8.42,medium
Measure nutrient digestibility and digesta passage in livestock using total collection or indigestible markers.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,167.33,1126.42,medium
"Perform post-mortem dissection of animals to record organ weights, carcass yields, and lesions.",subfield,Life Sciences,Agricultural Sciences,Animal Science,14,54.83,79.63,medium
Score body condition of livestock using standardized visual and palpation scales.,subfield,Life Sciences,Agricultural Sciences,Animal Science,8,6.18,6.18,medium
Process microbial sequencing data to characterize gut or rumen microbiome composition.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,10.02,22.83,medium
Analyze production performance data across treatment groups using mixed models accounting for repeated measures.,subfield,Life Sciences,Agricultural Sciences,Animal Science,10,15.25,15.38,medium
Compare disease incidence or mortality rates between treatment and control animal groups.,subfield,Life Sciences,Agricultural Sciences,Animal Science,9,25.8,28.88,medium
Evaluate behavioral observations using appropriate statistical methods for ethological data.,subfield,Life Sciences,Agricultural Sciences,Animal Science,14,37.23,79.18,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Animal Science,8,12.85,35.25,medium
"Quantify physiological biomarkers in blood or tissue samples to assess metabolic, hormonal, and immune status",subfield,Life Sciences,Agricultural Sciences,Animal Science,9,50.17,79.0,medium
Quantify rumen fermentation characteristics such as volatile fatty acid concentrations and protozoal counts in digesta samples.,subfield,Life Sciences,Agricultural Sciences,Animal Science,12,26.2,38.47,medium
"Formulate hypotheses about pest population dynamics, resistance mechanisms, or host-pest interactions.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,26.73,85.48,medium
Develop hypotheses regarding the efficacy of biological control agents against target pest species.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,8,41.22,109.22,medium
Design field trials with replicated plots to evaluate pest control treatments under natural conditions.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,19.83,256.83,medium
Establish appropriate control treatments and application rates for pesticide efficacy studies.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,10.5,10.5,medium
Design bioassays to assess insecticide toxicity and resistance levels in pest populations.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,9,57.42,617.5,medium
Obtain IACUC approval for vertebrate pest control studies or research involving animal subjects.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,14,36.53,1528.87,medium
Rear and maintain insect colonies under controlled laboratory conditions for experimental use.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,98.98,2140.4,medium
Generate or acquire genomic data to characterize pest populations or detect resistance alleles.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,76.18,463.1,medium
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,Life Sciences,Agricultural Sciences,Pest Management & Entomology,9,14.57,18.37,medium
Design and conduct standardized field surveys to document the distribution and abundance of target organisms,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,192.0,497.08,medium
Design bioassays to assess lethal and sublethal effects of pesticides on non-target beneficial organisms.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,11,38.48,370.98,medium
"Design behavioral assays that track insect movement, settling, or searching responses to host and habitat cues.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,11,72.83,185.75,medium
"Process sequencing data to identify pest species, assess genetic diversity, or detect resistance markers.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,24.0,50.5,medium
"Analyze pest mortality, population suppression, or crop damage data across treatment and control groups.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,24.2,24.2,medium
Apply dose-response models to determine lethal concentration or effective dose values for pesticides.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,9,7.13,7.13,medium
"Identify, measure, and enumerate specimens from aquatic surveys and catches to characterize species composition and population structure",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,183.5,299.5,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Pest Management & Entomology,8,11.47,16.55,medium
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,32.42,212.33,medium
Measure insect life-history traits such as longevity and fecundity under defined experimental conditions.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,155.92,3063.67,medium
"Compile annotated taxonomic checklists documenting pest species, their hosts, and distribution records.",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,583.83,1686.42,low
Quantify pesticide residue concentrations in environmental and biological samples using chromatography–mass spectrometry.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,12,50.5,92.25,medium
"Combine multiple observations or components into classifications, indices, or constructs for downstream evaluation",subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,10,14.65,14.65,medium
Assign putative gene functions by annotating sequences through homology and orthology database searches.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,9,21.38,78.25,medium
Manage insect rearing facilities including diet preparation and environmental controls.,subfield,Life Sciences,Agricultural Sciences,Pest Management & Entomology,9,93.37,105.1,medium
"Formulate hypotheses about microbial growth, survival, or inactivation kinetics in food matrices.",subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,9,27.12,28.05,medium
"Propose mechanisms for how processing conditions affect food quality attributes such as texture, color, or flavor.",subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,12,147.67,325.67,medium
Develop hypotheses about the bioactive properties of food components and their health effects.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,7,68.33,77.0,medium
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,Life Sciences,Agricultural Sciences,Food Science & Technology,8,17.07,32.42,medium
Measure physical quality attributes of food materials using instrumental methods,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,13,9.92,15.17,medium
"Design shelf-life studies with appropriate storage conditions, sampling intervals, and replication.",subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,12,25.17,93.67,medium
"Plan sensory evaluation panels with proper sample presentation, randomization, and blinding protocols.",subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,11,18.58,352.83,medium
Design challenge studies to evaluate pathogen behavior in food products under various conditions.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,13,26.72,244.05,medium
Develop experimental designs for optimizing food processing parameters using response surface methodology.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,10,37.42,46.42,medium
Isolate and enumerate microorganisms from food matrices using selective media and enrichment techniques.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,12,16.6,220.52,medium
Characterize microbial communities in fermented foods using metagenomic or amplicon sequencing approaches.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,11,82.35,259.8,medium
Analyze spectroscopic data to determine chemical composition or authenticity of food products.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,12,17.63,17.63,medium
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,Life Sciences,Agricultural Sciences,Food Science & Technology,9,19.97,28.65,medium
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,Life Sciences,Agricultural Sciences,Food Science & Technology,10,39.03,146.73,high
Detect and characterize target proteins in samples using gel electrophoresis with blot-based detection,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,12,5.93,26.52,medium
Validate new measurements or assays against established reference methods to assess reliability,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,14,70.33,134.25,medium
Develop custom instrumentation or computational tools tailored to specific research measurement needs,domain,Life Sciences,Agricultural Sciences,Food Science & Technology,9,164.83,707.0,medium
Prepare and formulate microbial preparations for experimental application or processing use,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,11,5.02,149.62,high
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,Food Science & Technology,9,10.52,70.18,medium
Convert source materials or reported data into standardized products using defined protocols,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,10,13.9,28.85,medium
Characterize particle size distribution and microstructure of food materials using light-scattering or image-analysis techniques.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,10,26.82,30.08,medium
Characterize thermal transitions and crystallization behavior of food materials using differential scanning calorimetry.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,13,19.6,59.92,medium
Process chromatographic data from food composition or contaminant analyses for quantification.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,11,7.85,7.92,medium
Apply statistical models to compare sensory attributes across food formulations or processing treatments.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,10,13.67,13.67,medium
Analyze microbial count data to evaluate the efficacy of preservation or sanitation treatments.,subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,9,7.97,7.97,medium
"Fit mathematical models to describe drying kinetics, thermal inactivation, or degradation reactions in foods.",subfield,Life Sciences,Agricultural Sciences,Food Science & Technology,10,37.58,60.92,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Food Science & Technology,8,15.62,32.72,medium
Assess measured or compiled data against reference values or decision models to judge adequacy and performance,field,Life Sciences,Agricultural Sciences,Food Science & Technology,8,11.17,11.17,medium
Compute derived indices from primary measurements using established formulas to characterize system performance,field,Life Sciences,Agricultural Sciences,Food Science & Technology,7,8.97,8.97,medium
"Formulate hypotheses about plant growth responses to environmental factors such as light, temperature, and nutrient availability.",subfield,Life Sciences,Agricultural Sciences,Horticulture,9,29.62,56.78,medium
"Develop hypotheses regarding genetic or physiological mechanisms underlying fruit quality, yield, or stress tolerance in horticultural crops.",subfield,Life Sciences,Agricultural Sciences,Horticulture,10,68.08,164.92,medium
"Design field or greenhouse experiments with replicated plots, appropriate controls, and randomized block arrangements to evaluate crop treatments.",subfield,Life Sciences,Agricultural Sciences,Horticulture,11,21.0,67.5,medium
Plan controlled environment studies to isolate effects of specific growing conditions on plant development and productivity.,subfield,Life Sciences,Agricultural Sciences,Horticulture,11,58.17,770.92,medium
"Generate or obtain transcriptomic data to analyze gene expression patterns related to plant development, stress responses, or fruit ripening.",subfield,Life Sciences,Agricultural Sciences,Horticulture,9,104.45,912.45,medium
Record or derive trait and environmental descriptors for crops to characterize plants and their growing conditions,subfield,Life Sciences,Agricultural Sciences,Horticulture,11,80.83,2614.5,medium
Quantify soil or plant properties using instrument- or image-based measurement procedures,subfield,Life Sciences,Agricultural Sciences,Horticulture,11,18.53,20.95,medium
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,Horticulture,9,5.55,125.1,medium
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,Life Sciences,Agricultural Sciences,Horticulture,9,99.27,734.98,medium
Process and analyze genomic or transcriptomic sequence data to identify genes associated with horticultural traits.,subfield,Life Sciences,Agricultural Sciences,Horticulture,12,44.58,164.83,medium
"Compare yield, quality, or growth parameters between treatment groups using appropriate statistical methods for agricultural experiments.",subfield,Life Sciences,Agricultural Sciences,Horticulture,12,14.57,14.57,medium
Analyze postharvest quality metrics across storage treatments to determine optimal handling and preservation conditions.,subfield,Life Sciences,Agricultural Sciences,Horticulture,12,80.75,100.08,medium
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Horticulture,8,16.27,45.27,medium
Derive standardized classifications or parameter estimates from measured data to characterize samples and populations,field,Life Sciences,Agricultural Sciences,Horticulture,7,12.17,12.67,medium
Assess measured or compiled data against reference values or decision models to judge adequacy and performance,field,Life Sciences,Agricultural Sciences,Horticulture,8,7.5,7.5,medium
Acquire leaf-level physiological measurements such as gas exchange and water potential using portable instruments.,subfield,Life Sciences,Agricultural Sciences,Horticulture,10,12.33,26.5,medium
Monitor environmental conditions at study sites with field sensors and instruments to characterize variability,subfield,Life Sciences,Agricultural Sciences,Horticulture,11,93.22,423.55,medium
Inventory plant systems or propagate plant material to characterize and supply vegetation for study,subfield,Life Sciences,Agricultural Sciences,Horticulture,11,22.43,1370.88,medium
"Formulate hypotheses about the effects of agricultural policies on farm productivity, land use, or food security outcomes.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,8,47.58,94.58,medium
"Develop theoretical frameworks linking market structures, trade policies, or subsidies to agricultural sector performance.",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,10,239.0,778.0,medium
Examine policy instruments and stakeholder responses to assess the determinants and expected outcomes of agricultural decisions,subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,11,587.67,943.5,medium
"Develop conceptual frameworks linking social, ethical, or behavioral dimensions to food and agricultural decisions",subfield,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,9,175.5,757.5,medium
