task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,,,,0.0,0.0,90.0,10.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.99,0.0,0.05,1.0,7.28,9.08,7.69,yes,3.0,3.0,neither,16.0,substep_mean
Develop and validate computational models to simulate or predict phenomena.,universal,,,,10.0,5.0,70.0,10.0,5.0,90.0,5.0,5.0,15.0,45.0,0.0,35.0,5.0,2.3,0.08,0.2,0.99,6.5,8.41,6.62,yes,4.0,4.0,Pasteur,18.0,substep_mean
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,,,,5.0,0.0,15.0,70.0,10.0,95.0,0.0,5.0,0.0,70.0,10.0,15.0,5.0,1.72,0.02,0.06,0.99,7.11,9.07,7.61,yes,3.0,3.0,neither,16.0,substep_mean
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,,,,10.0,5.0,15.0,65.0,5.0,95.0,0.0,5.0,5.0,5.0,5.0,5.0,80.0,2.23,0.0,0.17,1.0,4.94,8.15,5.65,yes,3.0,3.0,neither,16.0,substep_mean
Prepare grant proposals to secure funding for research projects.,universal,,,,20.0,5.0,30.0,35.0,10.0,90.0,0.0,10.0,10.0,15.0,10.0,55.0,10.0,2.36,0.12,0.47,0.95,4.42,6.88,4.64,no,,,n.a.,16.0,substep_mean
"Present research findings at conferences, seminars, and symposia.",universal,,,,5.0,5.0,5.0,75.0,10.0,70.0,0.0,30.0,5.0,5.0,5.0,5.0,80.0,2.04,0.18,0.05,0.94,4.41,7.15,4.77,no,,,n.a.,16.0,substep_mean
Respond to peer reviewer comments and revise manuscripts for publication.,universal,,,,5.0,15.0,25.0,45.0,10.0,90.0,5.0,5.0,5.0,30.0,15.0,5.0,45.0,2.17,0.2,0.25,0.94,4.9,7.32,5.24,yes,3.0,3.0,neither,20.0,substep_mean
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,,,,10.0,75.0,0.0,15.0,0.0,95.0,0.0,5.0,20.0,35.0,25.0,5.0,15.0,2.76,0.0,1.17,1.0,3.89,7.47,4.32,no,,,n.a.,20.0,substep_mean
"Serve on editorial boards, grant review panels, or professional committees.",universal,,,,5.0,55.0,0.0,5.0,35.0,60.0,0.0,40.0,5.0,5.0,10.0,0.0,80.0,2.72,0.01,1.39,1.0,2.95,5.46,2.9,no,,,n.a.,20.0,substep_mean
Supervise graduate students and postdoctoral researchers on research projects.,universal,,,,5.0,15.0,20.0,10.0,50.0,20.0,5.0,75.0,5.0,15.0,10.0,10.0,60.0,2.41,0.16,0.55,0.95,3.06,4.47,3.35,no,,,n.a.,20.0,substep_mean
Develop and deliver course curricula in specialized research areas.,universal,,,,20.0,5.0,5.0,20.0,50.0,50.0,5.0,45.0,10.0,0.0,10.0,20.0,60.0,2.07,0.43,0.45,0.91,4.32,6.65,4.44,no,,,n.a.,18.0,substep_mean
"Provide feedback on student theses, dissertations, and research proposals.",universal,,,,5.0,55.0,5.0,15.0,20.0,80.0,0.0,20.0,5.0,5.0,60.0,5.0,25.0,2.5,0.03,0.7,1.0,4.15,7.32,4.88,no,,,n.a.,20.0,substep_mean
"Manage research budgets, personnel, and project timelines.",universal,,,,0.0,5.0,0.0,5.0,90.0,20.0,10.0,70.0,0.0,0.0,0.0,0.0,100.0,1.84,0.06,0.77,0.98,4.91,5.25,4.4,no,,,n.a.,16.0,substep_mean
Coordinate with collaborators across institutions and disciplines.,universal,,,,5.0,5.0,10.0,40.0,40.0,25.0,5.0,70.0,0.0,0.0,5.0,5.0,90.0,2.09,0.16,0.68,0.95,3.5,4.48,3.34,no,,,n.a.,16.0,substep_mean
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,,,,5.0,5.0,5.0,5.0,80.0,35.0,55.0,10.0,0.0,5.0,0.0,60.0,35.0,1.61,0.91,0.56,0.66,6.83,5.93,6.19,no,,,n.a.,14.0,substep_mean
"Learn the concepts, methods, and tools needed to carry out the research.",universal,,,,80.0,2.0,3.0,5.0,10.0,85.0,5.0,10.0,20.0,15.0,10.0,15.0,40.0,2.05,0.38,0.18,0.88,5.41,7.47,5.74,no,,,n.a.,16.0,substep_mean
"Keep up with new findings, methods, and debates relevant to the research area.",universal,,,,85.0,5.0,0.0,5.0,5.0,95.0,0.0,5.0,5.0,5.0,10.0,0.0,80.0,1.96,0.24,0.06,0.94,3.33,5.97,3.17,no,,,n.a.,16.0,substep_mean
"Interpret texts, documents, artifacts, and other qualitative sources to construct evidence-based arguments.",universal,,,,20.0,10.0,55.0,15.0,0.0,90.0,5.0,5.0,15.0,0.0,80.0,0.0,5.0,2.43,0.12,0.26,0.98,4.32,7.5,5.05,yes,4.0,2.0,Bohr,16.0,substep_mean
"Construct formal models, proofs, and derivations to establish theoretical results.",universal,,,,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,95.0,5.0,0.0,0.0,0.0,2.94,0.0,0.02,1.0,5.89,8.54,5.94,yes,4.0,2.0,Bohr,20.0,substep_mean
"Design, build, and iteratively refine artifacts such as devices, software, materials, systems, or creative works to meet specified requirements.",universal,,,,5.0,5.0,75.0,10.0,5.0,55.0,35.0,10.0,5.0,10.0,5.0,78.0,2.0,2.26,0.78,0.37,0.76,5.36,6.15,5.28,yes,1.0,5.0,Edison,16.0,substep_mean
Engage with behavioral or institutional theories when framing research questions.,domain,Social Sciences,,,55.0,5.0,25.0,15.0,0.0,95.0,0.0,5.0,75.0,5.0,10.0,0.0,10.0,2.9,0.0,0.0,1.0,4.02,8.63,4.43,yes,4.0,2.0,Bohr,20.0,substep_mean
"Consider whether findings will generalize across populations, time periods, or contexts.",domain,Social Sciences,,,20.0,30.0,30.0,15.0,5.0,90.0,0.0,10.0,30.0,35.0,20.0,5.0,10.0,2.31,0.0,0.0,1.0,5.85,8.1,5.84,yes,4.0,3.0,Bohr,18.0,substep_mean
"Design surveys or questionnaires to measure attitudes, behaviors, or experiences.",domain,Social Sciences,,,15.0,5.0,60.0,10.0,10.0,80.0,0.0,20.0,15.0,55.0,15.0,15.0,0.0,2.09,0.34,0.21,1.0,5.19,6.79,5.48,yes,3.0,3.0,neither,16.0,substep_mean
Design interview or focus group protocols to collect qualitative data.,domain,Social Sciences,,,10.0,5.0,70.0,10.0,5.0,60.0,0.0,40.0,5.0,0.0,70.0,25.0,0.0,2.0,0.2,0.22,1.0,4.21,7.35,4.88,yes,3.0,3.0,neither,16.0,substep_mean
Obtain IRB approval and informed consent for research with human subjects.,domain,Social Sciences,,,5.0,10.0,5.0,15.0,65.0,30.0,0.0,70.0,0.0,0.0,0.0,5.0,95.0,1.8,0.12,2.07,1.0,6.14,7.44,5.77,no,,,n.a.,16.0,substep_mean
"Collect primary data through surveys, interviews, or observations of people.",domain,Social Sciences,,,5.0,0.0,85.0,5.0,5.0,15.0,5.0,80.0,0.0,40.0,45.0,10.0,5.0,1.66,0.85,1.81,1.0,5.49,4.93,5.44,yes,3.0,3.0,neither,16.0,substep_mean
"Acquire secondary data from administrative records, censuses, or public datasets.",domain,Social Sciences,,,65.0,5.0,20.0,5.0,5.0,95.0,0.0,5.0,0.0,70.0,5.0,5.0,20.0,1.3,0.0,1.05,1.0,5.87,7.04,5.93,yes,3.0,3.0,neither,16.0,substep_mean
Clean and recode self-reported or text-based responses.,domain,Social Sciences,,,5.0,5.0,80.0,5.0,5.0,95.0,0.0,5.0,0.0,55.0,35.0,5.0,5.0,1.8,0.0,0.0,1.0,7.86,9.71,8.18,yes,2.0,2.0,neither,16.0,substep_mean
Code qualitative data from interviews or open-ended responses.,domain,Social Sciences,,,5.0,5.0,80.0,5.0,5.0,90.0,0.0,10.0,5.0,5.0,85.0,0.0,5.0,1.58,0.0,0.49,1.0,5.78,8.67,6.38,yes,3.0,3.0,neither,16.0,substep_mean
Address selection bias and confounding when analyzing observational data.,domain,Social Sciences,,,5.0,5.0,80.0,8.0,2.0,95.0,0.0,5.0,20.0,75.0,0.0,5.0,0.0,2.45,0.0,0.11,1.0,5.15,8.71,5.76,yes,4.0,4.0,Pasteur,20.0,substep_mean
Coordinate with organizations for data access or to recruit study participants.,domain,Social Sciences,,,0.0,0.0,5.0,25.0,70.0,15.0,0.0,85.0,0.0,0.0,0.0,0.0,100.0,2.0,0.21,1.07,1.0,3.17,3.13,2.68,yes,3.0,3.0,neither,16.0,substep_mean
"Formulate hypotheses about biological mechanisms, pathways, or evolutionary processes.",domain,Life Sciences,,,25.0,5.0,60.0,8.0,2.0,90.0,5.0,5.0,55.0,15.0,15.0,10.0,5.0,2.75,0.0,0.0,1.0,4.84,8.1,5.07,yes,5.0,2.0,Bohr,20.0,substep_mean
"Design controlled experiments with appropriate sample sizes, controls, and randomization.",domain,Life Sciences,,,10.0,5.0,70.0,5.0,10.0,80.0,15.0,5.0,5.0,55.0,5.0,30.0,5.0,2.0,0.0,1.15,1.0,6.34,8.02,6.85,yes,3.0,3.0,neither,18.0,substep_mean
Obtain IACUC approval for research involving animals.,domain,Life Sciences,,,5.0,10.0,5.0,15.0,65.0,60.0,10.0,30.0,0.0,0.0,0.0,5.0,95.0,1.95,0.0,2.83,0.95,5.75,7.33,4.65,no,,,n.a.,16.0,substep_mean
Follow biosafety protocols when handling biological materials.,domain,Life Sciences,,,5.0,5.0,5.0,5.0,80.0,10.0,80.0,10.0,0.0,0.0,0.0,10.0,90.0,1.13,1.83,2.25,0.11,5.01,2.55,3.38,no,,,n.a.,12.0,substep_mean
"Collect biological specimens such as tissue, blood, or cell cultures.",domain,Life Sciences,,,0.0,0.0,90.0,0.0,10.0,5.0,75.0,20.0,0.0,20.0,5.0,5.0,70.0,1.49,2.15,1.85,0.09,4.82,2.53,3.62,yes,3.0,3.0,neither,12.0,substep_mean
"Generate or acquire sequencing data (genomic, transcriptomic, or proteomic).",domain,Life Sciences,,,0.0,0.0,90.0,0.0,10.0,15.0,80.0,5.0,0.0,15.0,0.0,85.0,0.0,1.5,1.81,0.45,0.25,6.0,3.47,3.8,yes,4.0,3.0,Bohr,14.0,substep_mean
Acquire microscopy or imaging data of biological samples.,domain,Life Sciences,,,0.0,0.0,90.0,0.0,10.0,15.0,80.0,5.0,0.0,55.0,10.0,35.0,0.0,1.96,2.52,0.06,0.06,4.17,1.95,3.3,yes,4.0,3.0,Bohr,14.0,substep_mean
Maintain laboratory notebooks documenting experimental conditions and procedures.,domain,Life Sciences,,,5.0,0.0,10.0,55.0,30.0,90.0,5.0,5.0,0.0,5.0,5.0,10.0,80.0,1.07,0.57,0.13,0.81,6.73,6.85,6.6,no,,,n.a.,14.0,substep_mean
Process and align sequencing reads for downstream analysis.,domain,Life Sciences,,,0.0,0.0,90.0,2.0,8.0,95.0,5.0,0.0,0.0,70.0,0.0,30.0,0.0,1.39,0.0,0.0,1.0,9.05,10.0,8.93,yes,3.0,3.0,neither,16.0,substep_mean
Compare treatment and control groups using statistical tests.,domain,Life Sciences,,,0.0,0.0,85.0,15.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.89,0.0,0.0,1.0,8.25,9.75,8.78,yes,3.0,4.0,Edison,16.0,substep_mean
Maintain laboratory equipment and manage stocks of reagents or specimens.,domain,Life Sciences,,,0.0,0.0,0.0,0.0,100.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,1.83,0.82,0.25,6.49,3.7,4.64,no,,,n.a.,12.0,substep_mean
"Derive predictions from physical laws, mathematical models, or first principles.",domain,Physical Sciences,,,5.0,0.0,85.0,8.0,2.0,95.0,0.0,5.0,80.0,15.0,0.0,5.0,0.0,1.79,0.0,0.0,1.0,7.53,9.67,7.23,yes,5.0,2.0,Bohr,18.0,substep_mean
Design experiments with controlled environmental conditions.,domain,Physical Sciences,,,10.0,5.0,65.0,10.0,10.0,15.0,75.0,10.0,5.0,25.0,5.0,60.0,5.0,2.22,0.22,0.0,1.0,5.85,7.07,5.61,yes,4.0,2.0,Bohr,16.0,substep_mean
Calibrate instruments and characterize measurement error.,domain,Physical Sciences,,,5.0,5.0,80.0,5.0,5.0,15.0,80.0,5.0,0.0,85.0,0.0,10.0,5.0,1.55,1.44,0.92,0.54,7.58,5.61,6.37,yes,3.0,3.0,neither,14.0,substep_mean
"Follow safety protocols for hazardous materials, radiation, or high-energy equipment.",domain,Physical Sciences,,,5.0,5.0,5.0,5.0,80.0,10.0,70.0,20.0,0.0,5.0,5.0,10.0,80.0,1.36,1.22,2.51,0.52,6.49,5.33,5.11,no,,,n.a.,12.0,substep_mean
"Collect experimental data using detectors, sensors, or spectrometers.",domain,Physical Sciences,,,0.0,0.0,90.0,5.0,5.0,15.0,80.0,5.0,0.0,90.0,0.0,5.0,5.0,1.51,1.6,0.21,0.27,7.67,3.76,6.3,yes,4.0,2.0,Bohr,14.0,substep_mean
"Collect observational data from telescopes, satellites, or field instruments.",domain,Physical Sciences,,,5.0,0.0,85.0,5.0,5.0,20.0,75.0,5.0,0.0,85.0,5.0,10.0,0.0,1.86,0.69,0.24,0.47,6.64,5.84,5.74,yes,5.0,2.0,Bohr,16.0,substep_mean
Synthesize materials or compounds for experimental study.,domain,Physical Sciences,,,5.0,0.0,85.0,5.0,5.0,5.0,90.0,5.0,0.0,15.0,5.0,80.0,0.0,1.85,2.23,0.22,0.11,5.29,2.46,3.09,yes,3.0,3.0,neither,16.0,substep_mean
Apply calibration corrections and noise filtering to raw measurements.,domain,Physical Sciences,,,0.0,0.0,90.0,5.0,5.0,95.0,5.0,0.0,0.0,90.0,0.0,10.0,0.0,1.42,0.0,0.0,1.0,8.35,9.47,8.84,yes,2.0,2.0,neither,16.0,substep_mean
Quantify measurement uncertainty and propagate errors through calculations.,domain,Physical Sciences,,,5.0,5.0,70.0,15.0,5.0,95.0,5.0,0.0,15.0,80.0,0.0,5.0,0.0,1.39,0.0,0.0,1.0,8.68,9.81,8.6,yes,3.0,3.0,neither,16.0,substep_mean
Fit theoretical models to experimental or observational data.,domain,Physical Sciences,,,5.0,5.0,80.0,5.0,5.0,95.0,0.0,5.0,15.0,75.0,0.0,5.0,5.0,2.13,0.0,0.0,1.0,7.21,9.24,7.24,yes,4.0,3.0,Bohr,16.0,substep_mean
Run numerical simulations of physical systems.,domain,Physical Sciences,,,5.0,0.0,80.0,10.0,5.0,95.0,3.0,2.0,10.0,55.0,0.0,30.0,5.0,1.96,0.0,0.0,1.0,7.57,9.06,7.5,yes,4.0,3.0,Bohr,16.0,substep_mean
Maintain experimental apparatus and laboratory equipment.,domain,Physical Sciences,,,0.0,0.0,5.0,0.0,95.0,5.0,90.0,5.0,0.0,5.0,0.0,15.0,80.0,1.62,1.93,0.48,0.27,6.49,3.48,4.45,no,,,n.a.,12.0,substep_mean
"Formulate hypotheses about disease mechanisms, risk factors, or treatment effects.",domain,Health Sciences,,,35.0,5.0,45.0,15.0,0.0,90.0,5.0,5.0,55.0,25.0,10.0,5.0,5.0,2.85,0.0,0.08,1.0,4.51,8.53,5.34,yes,4.0,4.0,Pasteur,20.0,substep_mean
Design clinical studies or trials with appropriate controls and endpoints.,domain,Health Sciences,,,15.0,5.0,60.0,10.0,10.0,55.0,5.0,40.0,15.0,40.0,5.0,40.0,0.0,2.64,0.0,2.25,1.0,5.56,8.26,5.94,yes,2.0,5.0,Edison,20.0,substep_mean
Obtain IRB approval and informed consent for research with patients.,domain,Health Sciences,,,0.0,5.0,0.0,10.0,85.0,15.0,0.0,85.0,0.0,0.0,0.0,0.0,100.0,1.84,0.31,2.58,1.0,5.12,5.97,5.13,no,,,n.a.,16.0,substep_mean
"Ensure compliance with patient privacy regulations (e.g., HIPAA).",domain,Health Sciences,,,10.0,15.0,5.0,10.0,60.0,55.0,0.0,45.0,0.0,0.0,5.0,5.0,90.0,2.0,0.0,2.84,1.0,5.79,8.22,6.19,no,,,n.a.,16.0,substep_mean
Collect patient data from electronic health records or clinical registries.,domain,Health Sciences,,,10.0,0.0,75.0,5.0,10.0,80.0,0.0,20.0,0.0,70.0,10.0,0.0,20.0,1.9,0.0,1.66,1.0,7.12,8.46,7.87,yes,2.0,5.0,Edison,14.0,substep_mean
Recruit study participants and collect clinical samples or measurements.,domain,Health Sciences,,,0.0,0.0,80.0,5.0,15.0,10.0,20.0,70.0,0.0,75.0,5.0,5.0,15.0,1.26,1.29,2.18,0.49,6.69,4.08,5.01,yes,3.0,4.0,Edison,12.0,substep_mean
"Acquire medical imaging data (MRI, CT, X-ray, etc.).",domain,Health Sciences,,,0.0,0.0,90.0,0.0,10.0,15.0,15.0,70.0,0.0,70.0,0.0,30.0,0.0,2.05,1.43,2.26,0.57,5.58,5.12,5.21,yes,3.0,4.0,Edison,14.0,substep_mean
Harmonize clinical variables across different coding systems or data sources.,domain,Health Sciences,,,15.0,5.0,65.0,10.0,5.0,95.0,0.0,5.0,5.0,15.0,10.0,65.0,5.0,2.12,0.0,0.49,1.0,6.71,8.78,7.26,yes,1.0,5.0,Edison,16.0,substep_mean
"Analyze time-to-event outcomes (e.g., survival, disease progression).",domain,Health Sciences,,,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,0.0,95.0,0.0,0.0,5.0,1.96,0.0,0.42,1.0,7.87,9.52,8.18,yes,3.0,5.0,Edison,18.0,substep_mean
Estimate treatment effects while accounting for confounding in clinical data.,domain,Health Sciences,,,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.36,0.0,0.84,1.0,5.76,8.3,6.45,yes,3.0,5.0,Edison,18.0,substep_mean
Coordinate with clinical sites or hospitals for data access or patient recruitment.,domain,Health Sciences,,,0.0,0.0,10.0,15.0,75.0,15.0,5.0,80.0,0.0,0.0,0.0,0.0,100.0,1.91,0.27,1.77,0.91,3.26,3.25,2.73,no,,,n.a.,16.0,substep_mean
"Formulate conjectures, theorems, or formal claims to be proved or disproved.",domain,Formal Sciences,,,10.0,0.0,80.0,10.0,0.0,100.0,0.0,0.0,95.0,0.0,0.0,0.0,5.0,2.88,0.0,0.0,1.0,5.68,8.93,5.52,yes,5.0,1.0,Bohr,20.0,substep_mean
"Specify a formal model, stating its objects, assumptions, and notation precisely.",domain,Formal Sciences,,,5.0,0.0,75.0,20.0,0.0,100.0,0.0,0.0,90.0,0.0,0.0,10.0,0.0,2.48,0.0,0.0,1.0,6.84,9.7,6.61,yes,4.0,1.0,Bohr,18.0,substep_mean
"Design an algorithm, estimator, or proof strategy and specify the guarantees it should satisfy.",domain,Formal Sciences,,,10.0,0.0,80.0,8.0,2.0,100.0,0.0,0.0,60.0,10.0,0.0,30.0,0.0,3.4,0.0,0.0,1.0,4.67,9.0,3.94,yes,4.0,3.0,Bohr,20.0,substep_mean
"Define benchmarks, evaluation metrics, and baselines against which a method will be judged.",domain,Formal Sciences,,,15.0,15.0,55.0,10.0,5.0,95.0,0.0,5.0,20.0,35.0,5.0,35.0,5.0,2.4,0.0,0.0,1.0,5.76,9.09,4.58,yes,3.0,4.0,Edison,18.0,substep_mean
"Assemble benchmark datasets, problem instances, or test cases on which methods are evaluated.",domain,Formal Sciences,,,15.0,5.0,65.0,10.0,5.0,95.0,0.0,5.0,5.0,30.0,5.0,55.0,5.0,1.97,0.0,0.0,1.0,7.67,9.65,7.16,yes,3.0,4.0,Edison,16.0,substep_mean
"Release code, data, and computational environments so that results can be reproduced.",domain,Formal Sciences,,,5.0,5.0,15.0,45.0,30.0,90.0,5.0,5.0,0.0,10.0,0.0,70.0,20.0,1.57,0.0,0.11,1.0,7.67,9.06,6.76,yes,3.0,3.0,neither,16.0,substep_mean
"Construct a rigorous proof, deriving the result from axioms, definitions, and established theorems.",domain,Formal Sciences,,,5.0,5.0,80.0,10.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,1.0,6.57,9.17,6.71,yes,5.0,1.0,Bohr,16.0,substep_mean
"Establish asymptotic, convergence, or computational-complexity guarantees for a method.",domain,Formal Sciences,,,10.0,5.0,70.0,15.0,0.0,100.0,0.0,0.0,85.0,10.0,0.0,5.0,0.0,3.09,0.0,0.0,1.0,6.0,9.43,5.37,yes,4.0,3.0,Bohr,20.0,substep_mean
Search for counterexamples and boundary cases that would falsify a claim.,domain,Formal Sciences,,,10.0,15.0,65.0,5.0,5.0,95.0,0.0,5.0,55.0,15.0,0.0,25.0,5.0,2.58,0.0,0.0,1.0,7.7,9.37,6.62,yes,5.0,1.0,Bohr,16.0,substep_mean
Implement methods as working code and verify correctness against known cases or a proof assistant.,domain,Formal Sciences,,,5.0,10.0,70.0,5.0,10.0,95.0,0.0,5.0,15.0,10.0,0.0,70.0,5.0,2.31,0.0,0.0,1.0,8.05,9.9,8.33,yes,3.0,3.0,neither,16.0,substep_mean
Run numerical experiments or simulations to characterize behavior where theory is silent.,domain,Formal Sciences,,,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,5.0,55.0,0.0,35.0,5.0,2.13,0.0,0.0,1.0,6.98,9.38,7.55,yes,5.0,1.0,Bohr,16.0,substep_mean
"Manage computational resources such as clusters, accelerators, and long-running jobs.",domain,Formal Sciences,,,0.0,0.0,5.0,0.0,95.0,90.0,10.0,0.0,0.0,0.0,0.0,30.0,70.0,1.77,0.0,0.0,1.0,8.26,7.94,7.49,no,,,n.a.,16.0,substep_mean
"Frame an interpretive question in relation to a historiographical, critical, or philosophical tradition.",domain,Arts & Humanities,,,40.0,10.0,35.0,15.0,0.0,95.0,0.0,5.0,45.0,0.0,45.0,0.0,10.0,3.0,0.0,0.0,1.0,3.48,7.44,4.13,yes,5.0,1.0,Bohr,18.0,substep_mean
"Read texts or examine works closely, attending to language, form, structure, and style.",domain,Arts & Humanities,,,55.0,5.0,25.0,5.0,10.0,95.0,5.0,0.0,10.0,0.0,85.0,0.0,5.0,2.12,0.0,0.0,1.0,4.34,9.0,5.16,yes,5.0,1.0,Bohr,16.0,substep_mean
"Establish the text or object of study, determining edition, provenance, authorship, and variants.",domain,Arts & Humanities,,,25.0,10.0,55.0,8.0,2.0,90.0,8.0,2.0,5.0,5.0,85.0,0.0,5.0,2.46,0.8,0.38,0.88,5.06,6.86,5.28,yes,5.0,1.0,Bohr,20.0,substep_mean
"Design a corpus or sampling strategy for the sources, periods, or languages to be examined.",domain,Arts & Humanities,,,25.0,5.0,55.0,15.0,0.0,90.0,5.0,5.0,15.0,10.0,40.0,35.0,0.0,2.19,0.0,0.05,1.0,3.63,6.48,3.55,yes,4.0,1.0,Bohr,18.0,substep_mean
"Observe obligations to the communities whose histories, languages, or cultural heritage are studied, including protocols for sacred or sensitive material.",domain,Arts & Humanities,,,10.0,10.0,5.0,15.0,60.0,25.0,15.0,60.0,5.0,0.0,55.0,10.0,30.0,2.25,0.74,2.75,0.78,2.52,3.03,2.31,no,,,n.a.,16.0,substep_mean
"Locate primary sources in archives, manuscript collections, museums, or field sites.",domain,Arts & Humanities,,,80.0,5.0,5.0,5.0,5.0,55.0,40.0,5.0,0.0,0.0,85.0,0.0,15.0,2.24,0.28,0.2,0.9,4.12,6.11,3.97,yes,4.0,1.0,Bohr,16.0,substep_mean
"Negotiate access to archives, collections, or field sites and secure the necessary permissions.",domain,Arts & Humanities,,,5.0,0.0,5.0,20.0,70.0,15.0,15.0,70.0,0.0,0.0,5.0,0.0,95.0,1.94,0.2,1.24,0.87,5.27,4.77,4.4,no,,,n.a.,16.0,substep_mean
"Transcribe, translate, or edit source materials, documenting every editorial choice.",domain,Arts & Humanities,,,15.0,5.0,55.0,20.0,5.0,95.0,5.0,0.0,5.0,0.0,90.0,0.0,5.0,2.39,0.23,0.23,1.0,5.08,8.16,6.07,yes,4.0,2.0,Bohr,16.0,substep_mean
"Annotate a corpus of texts, recordings, or images according to an explicit coding scheme.",domain,Arts & Humanities,,,5.0,5.0,80.0,5.0,5.0,95.0,0.0,5.0,0.0,10.0,85.0,5.0,0.0,1.96,0.0,0.0,1.0,6.11,8.8,6.3,yes,4.0,2.0,Bohr,16.0,substep_mean
"Situate a source within its historical, cultural, and intellectual context to reconstruct its meaning.",domain,Arts & Humanities,,,25.0,5.0,55.0,15.0,0.0,95.0,5.0,0.0,15.0,0.0,80.0,0.0,5.0,2.89,0.0,0.0,1.0,3.58,7.89,4.06,yes,5.0,1.0,Bohr,18.0,substep_mean
