task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",3,85,3,Core
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Library & Information Science,"Libraries, Archives & Information Services",5,100,4,Core
"Frame research questions within historiographical debates about periodization, influence, and cultural transmission.",subfield,Arts & Humanities,History,Art & Intellectual History,5,100,4,Core
"Situate analyses of visual or textual sources within relevant theoretical frameworks from aesthetics, hermeneutics, or cultural theory.",subfield,Arts & Humanities,History,Art & Intellectual History,4,98,4,Core
Assess whether interpretive claims about artistic movements or intellectual traditions apply across different national or regional contexts.,subfield,Arts & Humanities,History,Art & Intellectual History,4,95,3,Core
Evaluate the extent to which findings about specific historical periods or figures illuminate broader patterns in cultural or intellectual history.,subfield,Arts & Humanities,History,Art & Intellectual History,4,97,3,Core
Synthesize concepts drawn from divergent theoretical traditions into an original interpretive model for a historical problem.,subfield,Arts & Humanities,History,Art & Intellectual History,4,90,3,Core
"Develop interview protocols for oral history projects with artists, collectors, curators, or other cultural practitioners.",subfield,Arts & Humanities,History,Art & Intellectual History,2,45,1,Supplemental
"Conduct archival research in libraries, museums, and special collections to locate primary source materials.",subfield,Arts & Humanities,History,Art & Intellectual History,5,100,3,Core
"Examine original artworks, manuscripts, or architectural sites to gather visual and material evidence.",subfield,Arts & Humanities,History,Art & Intellectual History,4,92,3,Core
Translate and annotate primary sources written in historical or foreign languages.,subfield,Arts & Humanities,History,Art & Intellectual History,3,80,3,Core
"Identify and categorize iconographic motifs, stylistic features, or rhetorical patterns in visual and textual sources.",subfield,Arts & Humanities,History,Art & Intellectual History,4,97,4,Core
"Code thematic content in correspondence, treatises, or critical writings to trace intellectual networks and debates.",subfield,Arts & Humanities,History,Art & Intellectual History,3,85,3,Core
Establish provenance chains and attribution histories by cross-referencing documentary evidence with material analysis.,subfield,Arts & Humanities,History,Art & Intellectual History,3,72,2,Core
"Formulate hypotheses about biological mechanisms, pathways, or evolutionary processes.",domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,2,25,2,Supplemental
"Design controlled experiments with appropriate sample sizes, controls, and randomization.",domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,3,60,2,Supplemental
Obtain IACUC approval for research involving animals.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,8,1,Supplemental
Follow biosafety protocols when handling biological materials.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,10,2,Supplemental
"Collect biological specimens such as tissue, blood, or cell cultures.",domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,8,1,Supplemental
"Generate or acquire sequencing data (genomic, transcriptomic, or proteomic).",domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,6,1,Supplemental
Acquire microscopy or imaging data of biological samples.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,8,1,Supplemental
Maintain laboratory notebooks documenting experimental conditions and procedures.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,2,30,3,Supplemental
Process and align sequencing reads for downstream analysis.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,5,1,Supplemental
Compare treatment and control groups using statistical tests.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,4,90,3,Core
Maintain laboratory equipment and manage stocks of reagents or specimens.,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,10,2,Supplemental
Perform in vitro assays with sample extracts or purified proteins to characterize their functional and biochemical properties,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,5,1,Supplemental
Quantify chemical constituents of biological or environmental samples using standard laboratory assays to characterize their composition,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,8,1,Supplemental
Develop custom instrumentation or computational tools tailored to specific research measurement needs,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,3,55,2,Supplemental
Extract and fractionate compounds from biological material to prepare fractions for downstream analysis,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,4,1,Supplemental
Quantify target nucleic acid levels with targeted PCR assays to compare or verify expression results,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,4,1,Supplemental
Compare sequences across genomes or reference databases to identify homologous and lineage-specific genes,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,5,1,Supplemental
Collect information from local stakeholders through interviews or questionnaires to document their knowledge and practices,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,4,85,3,Core
Engineer genetic constructs and vectors for targeted expression or silencing of genes in cells,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,3,1,Supplemental
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,2,30,2,Supplemental
Perform in vivo procedures on laboratory animals to establish defined experimental states or disease models,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,4,1,Supplemental
Perform in situ hybridization on tissue sections to localize gene transcript expression,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,1,3,1,Supplemental
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,3,70,3,Core
Derive threshold or reference values from population data to classify individuals or samples,domain,Life Sciences,Agricultural Sciences,Agricultural Economics & Policy,3,60,2,Supplemental
"Re-estimate results under alternative specifications, samples, or measures to assess robustness.",field,Social Sciences,Economics,Labor Economics,5,100,5,Core
"Compute descriptive statistics from aggregate or secondary data to document patterns and trends across groups, sectors, or periods.",field,Social Sciences,Economics,Labor Economics,4,100,5,Core
Construct formal theoretical models and derive their equilibrium implications as testable predictions.,field,Social Sciences,Economics,Labor Economics,3,70,2,Core
Calibrate structural or simulation models to observed data and simulate counterfactual scenarios.,field,Social Sciences,Economics,Labor Economics,3,60,2,Supplemental
"Identify and date structural breaks, regime shifts, or episodes in economic time series.",field,Social Sciences,Economics,Labor Economics,2,45,2,Supplemental
Decompose aggregate outcomes or their changes into contributions from underlying components.,field,Social Sciences,Economics,Labor Economics,4,90,3,Core
Evaluate the out-of-sample predictive accuracy of competing models against benchmarks using held-out data.,field,Social Sciences,Economics,Labor Economics,3,65,2,Supplemental
"Classify economic units, periods, or institutions into categories or typologies based on measured characteristics.",field,Social Sciences,Economics,Labor Economics,3,85,3,Core
"Estimate how effects vary across subgroups, conditions, or points of the outcome distribution.",field,Social Sciences,Economics,Labor Economics,4,98,4,Core
Compare model predictions with observed data or documented stylized facts to assess the model's validity.,field,Social Sciences,Economics,Labor Economics,4,92,3,Core
"Assess the reliability, conceptual validity, and cross-source or cross-context comparability of existing data sources, indicators, and measures.",field,Social Sciences,Economics,Labor Economics,4,97,4,Core
Merge and harmonize data from separate sources to construct integrated panel or linked analysis datasets.,field,Social Sciences,Economics,Labor Economics,4,95,4,Core
"Compute distributional indices, such as inequality or concentration measures, to characterize distributions of economic outcomes.",field,Social Sciences,Economics,Labor Economics,3,85,3,Core
"Estimate discrete-choice or limited-dependent-variable models for categorical, ordinal, or censored outcomes.",field,Social Sciences,Economics,Labor Economics,4,93,4,Core
Measure photoluminescence emission of materials under controlled optical excitation to characterize electronic transitions,field,Physical Sciences,Materials Science,Electronic Materials,4,90,3,Core
Measure electrical resistivity and carrier transport properties of specimens using probe-contact or Hall measurement geometries,field,Physical Sciences,Materials Science,Electronic Materials,5,100,4,Core
Pattern micro- and nanoscale features on substrates and films using lithography or etching to define device structures,field,Physical Sciences,Materials Science,Electronic Materials,4,92,3,Core
Measure specific surface area and pore size distribution of porous materials using gas adsorption analysis,field,Physical Sciences,Materials Science,Electronic Materials,3,78,2,Core
Measure particle size distribution of powders and dispersions using light scattering to characterize dispersion state,field,Physical Sciences,Materials Science,Electronic Materials,3,85,3,Core
Quantify mass change of specimens during immersion or environmental exposure to determine degradation or liquid uptake rates,field,Physical Sciences,Materials Science,Electronic Materials,3,80,2,Core
Apply external fields during processing to align anisotropic constituents and produce directional structure,field,Physical Sciences,Materials Science,Electronic Materials,3,72,2,Core
Measure density and porosity of solid specimens using displacement or geometric methods to assess densification,field,Physical Sciences,Materials Science,Electronic Materials,3,90,3,Core
Select compositional substitutions and additive concentrations to target desired structural and functional properties,field,Physical Sciences,Materials Science,Electronic Materials,5,100,4,Core
Measure polarization (and associated strain) hysteresis loops versus applied electric field to characterize ferroelectric switching behavior.,field,Physical Sciences,Materials Science,Electronic Materials,4,85,3,Core
Evaluate corrosion and interfacial behavior of materials in electrolytes using electrochemical polarization and impedance measurements,field,Physical Sciences,Materials Science,Electronic Materials,3,82,3,Core
Measure contact angles of probe liquids on material surfaces to quantify wettability and surface energy,field,Physical Sciences,Materials Science,Electronic Materials,3,88,3,Core
Characterize physicochemical properties of precursor formulations and feedstocks to assess processability prior to fabrication,field,Physical Sciences,Materials Science,Electronic Materials,4,95,4,Core
"Derive predictions from physical laws, mathematical models, or first principles.",domain,Physical Sciences,Chemistry,Materials Chemistry,3,88,3,Core
Design experiments with controlled environmental conditions.,domain,Physical Sciences,Chemistry,Materials Chemistry,4,97,4,Core
Calibrate instruments and characterize measurement error.,domain,Physical Sciences,Chemistry,Materials Chemistry,4,95,3,Core
"Follow safety protocols for hazardous materials, radiation, or high-energy equipment.",domain,Physical Sciences,Chemistry,Materials Chemistry,5,100,5,Core
"Collect experimental data using detectors, sensors, or spectrometers.",domain,Physical Sciences,Chemistry,Materials Chemistry,5,100,4,Core
"Collect observational data from telescopes, satellites, or field instruments.",domain,Physical Sciences,Chemistry,Materials Chemistry,1,20,1,Supplemental
Synthesize materials or compounds for experimental study.,domain,Physical Sciences,Chemistry,Materials Chemistry,5,98,4,Core
Apply calibration corrections and noise filtering to raw measurements.,domain,Physical Sciences,Chemistry,Materials Chemistry,3,92,3,Core
Quantify measurement uncertainty and propagate errors through calculations.,domain,Physical Sciences,Chemistry,Materials Chemistry,4,95,3,Core
Fit theoretical models to experimental or observational data.,domain,Physical Sciences,Chemistry,Materials Chemistry,4,94,3,Core
Run numerical simulations of physical systems.,domain,Physical Sciences,Chemistry,Materials Chemistry,3,72,3,Core
Maintain experimental apparatus and laboratory equipment.,domain,Physical Sciences,Chemistry,Materials Chemistry,4,98,4,Core
"Test materials and devices under prolonged, repeated, or stressed operating and exposure conditions to quantify performance degradation and durability",domain,Physical Sciences,Chemistry,Materials Chemistry,4,90,3,Core
Interpret measured spectra to determine composition and structural characteristics of samples,domain,Physical Sciences,Chemistry,Materials Chemistry,5,100,4,Core
"Prepare solid samples by crushing, sectioning, or mounting to produce standardized material for laboratory analysis or experiments",domain,Physical Sciences,Chemistry,Materials Chemistry,4,96,4,Core
"Compare results against independent datasets, models, or reference cases to quantify agreement and validate them",domain,Physical Sciences,Chemistry,Materials Chemistry,4,98,3,Core
"Vary model inputs, parameters, or forcings systematically to quantify their influence on predicted outcomes",domain,Physical Sciences,Chemistry,Materials Chemistry,3,82,3,Core
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,Physical Sciences,Chemistry,Materials Chemistry,4,92,3,Core
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,Physical Sciences,Chemistry,Materials Chemistry,4,95,3,Core
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,Physical Sciences,Chemistry,Materials Chemistry,3,88,3,Core
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,Physical Sciences,Chemistry,Materials Chemistry,3,75,2,Core
"Apply cultural production theories to frame research questions about symbolic boundaries, taste hierarchies, or meaning-making processes.",subfield,Social Sciences,Sociology,Cultural Sociology,5,100,4,Core
Draw on theories of collective memory and commemoration to analyze how groups construct shared pasts.,subfield,Social Sciences,Sociology,Cultural Sociology,3,85,3,Core
"Assess whether cultural meanings, symbols, or practices identified in one context transfer across different national or historical settings.",subfield,Social Sciences,Sociology,Cultural Sociology,4,92,3,Core
"Design survey items to measure cultural tastes, consumption patterns, or symbolic boundaries among respondents.",subfield,Social Sciences,Sociology,Cultural Sociology,3,78,2,Core
"Develop interview protocols to elicit narratives about identity formation, cultural belonging, or meaning-making experiences.",subfield,Social Sciences,Sociology,Cultural Sociology,4,95,3,Core
"Design focus group guides to explore shared cultural understandings, collective memories, or group interpretations of symbols.",subfield,Social Sciences,Sociology,Cultural Sociology,3,72,2,Core
"Conduct ethnographic observations at cultural events, institutions, or sites to document practices and interactions.",subfield,Social Sciences,Sociology,Cultural Sociology,4,90,3,Core
Collect life history or narrative interviews to understand how individuals construct cultural identities over time.,subfield,Social Sciences,Sociology,Cultural Sociology,4,88,3,Core
"Collect and systematically analyze cultural artifacts such as texts, images, or media content for patterns of meaning.",subfield,Social Sciences,Sociology,Cultural Sociology,4,97,4,Core
"Compile archival materials including historical documents, photographs, or organizational records for cultural analysis.",subfield,Social Sciences,Sociology,Cultural Sociology,3,90,3,Core
"Argue for the methodological value of a research approach, including its capacity to reach phenomena that conventional methods miss.",subfield,Social Sciences,Sociology,Cultural Sociology,4,100,4,Core
"Apply interpretive coding schemes to identify cultural themes, frames, or discourses in qualitative data.",subfield,Social Sciences,Sociology,Cultural Sociology,5,99,4,Core
Conduct discourse or narrative analysis to examine how cultural meanings are constructed in texts or speech.,subfield,Social Sciences,Sociology,Cultural Sociology,4,95,4,Core
"Perform content analysis of media, literature, or visual materials to identify patterns in cultural representation.",subfield,Social Sciences,Sociology,Cultural Sociology,4,92,3,Core
Account for the social positioning of both researcher and participants when interpreting cultural data.,subfield,Social Sciences,Sociology,Cultural Sociology,4,98,4,Core
Classify cases or areas into empirically derived typologies using multivariate analysis of their attributes,subfield,Social Sciences,Sociology,Cultural Sociology,2,55,2,Supplemental
"Negotiate access to cultural institutions, artistic communities, or heritage sites for fieldwork or data collection.",subfield,Social Sciences,Sociology,Cultural Sociology,3,88,2,Core
"Predict nanoparticle optical, electronic, or catalytic properties based on size, shape, and composition using theoretical models.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,95,3,Core
Calculate quantum confinement effects on bandgap energies for semiconductor nanostructures.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,80,2,Core
Measure photocurrent response of devices and electrodes under controlled illumination,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,70,3,Core
Evaluate photocatalytic performance of materials under controlled illumination by quantifying contaminant removal or product formation,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,75,3,Core
"Design synthesis experiments with controlled temperature, atmosphere, and precursor concentrations to achieve target nanostructure morphologies.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,5,100,4,Core
Plan characterization sequences to correlate nanomaterial structure with functional properties.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,100,4,Core
Synthesize nanoparticles through wet chemical methods with controlled nucleation and growth conditions.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,5,98,4,Core
"Functionalize nanoparticle surfaces with ligands, polymers, or biomolecules for targeted applications.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,92,3,Core
Fabricate thin films or nanostructured coatings using physical or chemical deposition techniques.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,85,3,Core
"Purify and separate synthesized nanomaterials using centrifugation, filtration, or chromatographic methods.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,96,4,Core
Evaluate antimicrobial efficacy of materials against bacterial or fungal strains using growth-inhibition assays,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,2,55,2,Supplemental
Track localization of nanoparticles and biomolecules in cells or organisms using fluorescence imaging,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,2,50,2,Supplemental
Apply post-synthesis treatments to as-prepared materials to convert them into their functional working form,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,95,4,Core
Propose chemical reaction mechanisms for nanoparticle formation from precursor reactivity and thermodynamic reasoning.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,90,3,Core
Produce nanosheets or nanoparticles by top-down exfoliation or mechanical milling of bulk precursors.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,75,3,Core
"Prepare plant, microbial, or fungal extracts for use as reducing and capping agents in nanoparticle synthesis.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,2,55,2,Supplemental
Disperse pre-formed nanomaterials into suspensions with controlled concentration and aggregation state for downstream testing.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,97,4,Core
Quantify nanomaterial production yield by weighing separated product fractions.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,90,3,Core
Fit absorption spectra to theoretical models to extract nanoparticle size and concentration parameters.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,92,3,Core
Analyze X-ray diffraction peak profiles to determine crystallite size and lattice strain in nanomaterials.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,5,100,4,Core
Simulate electronic structure and optical properties of nanostructures using density functional theory or related methods.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,70,2,Core
Model nanoparticle growth kinetics and self-assembly processes through molecular dynamics or Monte Carlo simulations.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,60,2,Supplemental
Determine how synthesized nanoparticles distribute and organize within processing or delivery systems,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,85,3,Core
"Validate nanomaterial-based sensing methods by establishing calibration curves, detection limits, and selectivity for target analytes.",subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,3,78,3,Core
Track nanostructure formation over reaction time by sampling intermediates to infer growth mechanisms.,subfield,Physical Sciences,Materials Science,Nanomaterials & Nanotechnology,4,88,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Geography,Geographic Information Science,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Geography,Geographic Information Science,4,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Geography,Geographic Information Science,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Geography,Geographic Information Science,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Geography,Geographic Information Science,3,88,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Geography,Geographic Information Science,4,95,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Geography,Geographic Information Science,3,65,2,Supplemental
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Geography,Geographic Information Science,5,100,4,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Geography,Geographic Information Science,4,98,4,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Geography,Geographic Information Science,4,98,5,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Geography,Geographic Information Science,4,95,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Geography,Geographic Information Science,4,90,4,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Geography,Geographic Information Science,5,100,5,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Geography,Geographic Information Science,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Geography,Geographic Information Science,4,92,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Geography,Geographic Information Science,4,98,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Geography,Geographic Information Science,4,98,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Geography,Geographic Information Science,3,90,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Geography,Geographic Information Science,3,80,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Geography,Geographic Information Science,4,85,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Geography,Geographic Information Science,3,80,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Geography,Geographic Information Science,3,85,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Geography,Geographic Information Science,4,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Geography,Geographic Information Science,4,98,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Geography,Geographic Information Science,3,85,3,Core
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Geography,Geographic Information Science,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Geography,Geographic Information Science,4,100,4,Core
Apply educational theories such as situated learning or self-determination theory to frame research questions about trainee development.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,95,3,Core
Integrate competency-based education frameworks when designing studies on clinical skill acquisition.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,95,3,Core
Evaluate whether educational interventions will transfer across different clinical training environments or healthcare systems.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,92,3,Core
"Assess generalizability of findings across health professions disciplines such as medicine, nursing, and allied health.",subfield,Social Sciences,Education,Medical & Health Professions Education,3,88,3,Core
"Design instruments to measure clinical competence, professional identity formation, or readiness for practice.",subfield,Social Sciences,Education,Medical & Health Professions Education,4,90,2,Core
Develop validated assessment tools for evaluating learner performance in simulated or clinical settings.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,90,2,Core
Design interview protocols to explore trainee experiences with clinical learning environments or professional socialization.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,92,3,Core
Develop focus group guides to gather faculty or preceptor perspectives on curriculum implementation.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,88,2,Core
Navigate dual IRB requirements when conducting multi-institutional studies across academic medical centers.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,82,2,Core
Address ethical considerations specific to research involving trainees in hierarchical educational relationships.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,96,3,Core
Collect observational data on clinical teaching encounters or workplace-based learning interactions.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,85,3,Core
Conduct needs assessments with learners and stakeholders to identify competencies and content for a new curriculum.,subfield,Social Sciences,Education,Medical & Health Professions Education,4,95,3,Core
Conduct power or precision calculations to determine the sample size required before data collection.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,85,3,Core
Recode narrative feedback from clinical supervisors into analyzable categories.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,88,3,Core
Code reflective writing or portfolio entries to identify themes in professional development.,subfield,Social Sciences,Education,Medical & Health Professions Education,3,85,3,Core
